"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"HU130AA",-0.434724,53.72293,264.8609,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","27A3FE08-3315-4AE7-9662-E23C2C5642A8","HU13","0AA",53.72453,-0.4376979
"HU130AB",-0.429766,53.71851,498.2622,1808.714,"81B33339-508B-33F1-E053-A03BA40A2BEA","7CD596A2-88F6-44C9-A5AA-5262342C2E5D","HU13","0AB",53.72237,-0.4259135
"HU130AD",-0.435702,53.72352,172.6778,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","27A3FE08-3315-4AE7-9662-E23C2C5642A8","HU13","0AD",53.72453,-0.4376979
"HU130AE",-0.434496,53.72335,247.9717,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","27A3FE08-3315-4AE7-9662-E23C2C5642A8","HU13","0AE",53.72453,-0.4376979
"HU130AF",-0.435293,53.72352,194.2517,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","27A3FE08-3315-4AE7-9662-E23C2C5642A8","HU13","0AF",53.72453,-0.4376979
"HU130AH",-0.433171,53.72284,352.0717,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","27A3FE08-3315-4AE7-9662-E23C2C5642A8","HU13","0AH",53.72453,-0.4376979
"HU130AJ",-0.433568,53.72223,373.4083,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","27A3FE08-3315-4AE7-9662-E23C2C5642A8","HU13","0AJ",53.72453,-0.4376979
"HU130AL",-0.432912,53.72234,398.4259,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","27A3FE08-3315-4AE7-9662-E23C2C5642A8","HU13","0AL",53.72453,-0.4376979
"HU130AN",-0.430836,53.72272,323.8655,1808.714,"81B33339-508B-33F1-E053-A03BA40A2BEA","BBF83D78-E624-492A-94AF-F8B5D5072455","HU13","0AN",53.72263,-0.4259161
"HU130AP",-0.429977,53.72219,268.0919,1808.714,"81B33339-508B-33F1-E053-A03BA40A2BEA","7CD596A2-88F6-44C9-A5AA-5262342C2E5D","HU13","0AP",53.72237,-0.4259135
"HU130AQ",-0.435091,53.72365,197.5428,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","27A3FE08-3315-4AE7-9662-E23C2C5642A8","HU13","0AQ",53.72453,-0.4376979
"HU130AR",-0.431822,53.72148,401.1949,1808.714,"81B33339-508B-33F1-E053-A03BA40A2BEA","7CD596A2-88F6-44C9-A5AA-5262342C2E5D","HU13","0AR",53.72237,-0.4259135
"HU130AS",-0.432127,53.72186,412.7391,1808.714,"81B33339-508B-33F1-E053-A03BA40A2BEA","7CD596A2-88F6-44C9-A5AA-5262342C2E5D","HU13","0AS",53.72237,-0.4259135
"HU130AT",-0.430834,53.72238,323.7414,1808.714,"81B33339-508B-33F1-E053-A03BA40A2BEA","7CD596A2-88F6-44C9-A5AA-5262342C2E5D","HU13","0AT",53.72237,-0.4259135
"HU130AU",-0.431006,53.72184,340.1007,1808.714,"81B33339-508B-33F1-E053-A03BA40A2BEA","7CD596A2-88F6-44C9-A5AA-5262342C2E5D","HU13","0AU",53.72237,-0.4259135
"HU130AW",-0.43053,53.71752,618.5476,1808.714,"81B33339-508B-33F1-E053-A03BA40A2BEA","7CD596A2-88F6-44C9-A5AA-5262342C2E5D","HU13","0AW",53.72237,-0.4259135
"HU130AX",-0.433212,53.7208,508.9109,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","27A3FE08-3315-4AE7-9662-E23C2C5642A8","HU13","0AX",53.72453,-0.4376979
"HU130AY",-0.433659,53.72101,473.5902,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","27A3FE08-3315-4AE7-9662-E23C2C5642A8","HU13","0AY",53.72453,-0.4376979
"HU130AZ",-0.433984,53.72162,405.4245,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","27A3FE08-3315-4AE7-9662-E23C2C5642A8","HU13","0AZ",53.72453,-0.4376979
"HU130BA",-0.434609,53.72114,428.7787,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","27A3FE08-3315-4AE7-9662-E23C2C5642A8","HU13","0BA",53.72453,-0.4376979
"HU130BB",-0.438084,53.72102,391.3907,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","27A3FE08-3315-4AE7-9662-E23C2C5642A8","HU13","0BB",53.72453,-0.4376979
"HU130BD",-0.43781,53.72063,433.9943,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","27A3FE08-3315-4AE7-9662-E23C2C5642A8","HU13","0BD",53.72453,-0.4376979
"HU130BE",-0.439058,53.72007,504.0955,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","27A3FE08-3315-4AE7-9662-E23C2C5642A8","HU13","0BE",53.72453,-0.4376979
"HU130BF",-0.439034,53.72113,388.1953,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","27A3FE08-3315-4AE7-9662-E23C2C5642A8","HU13","0BF",53.72453,-0.4376979
"HU130BG",-0.439984,53.71923,608.5951,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","27A3FE08-3315-4AE7-9662-E23C2C5642A8","HU13","0BG",53.72453,-0.4376979
"HU130BH",-0.440124,53.72036,490.2239,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","27A3FE08-3315-4AE7-9662-E23C2C5642A8","HU13","0BH",53.72453,-0.4376979
"HU130BJ",-0.439485,53.71879,649.1563,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","27A3FE08-3315-4AE7-9662-E23C2C5642A8","HU13","0BJ",53.72453,-0.4376979
"HU130BL",-0.438886,53.71939,576.5806,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","27A3FE08-3315-4AE7-9662-E23C2C5642A8","HU13","0BL",53.72453,-0.4376979
"HU130BN",-0.437279,53.71902,613.2416,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","27A3FE08-3315-4AE7-9662-E23C2C5642A8","HU13","0BN",53.72453,-0.4376979
"HU130BP",-0.437661,53.71933,578.0454,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","27A3FE08-3315-4AE7-9662-E23C2C5642A8","HU13","0BP",53.72453,-0.4376979
"HU130BS",-0.437126,53.71947,564.0632,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","27A3FE08-3315-4AE7-9662-E23C2C5642A8","HU13","0BS",53.72453,-0.4376979
"HU130BT",-0.437603,53.72008,495.2394,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","27A3FE08-3315-4AE7-9662-E23C2C5642A8","HU13","0BT",53.72453,-0.4376979
"HU130BU",-0.436391,53.72048,459.0696,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","27A3FE08-3315-4AE7-9662-E23C2C5642A8","HU13","0BU",53.72453,-0.4376979
"HU130BW",-0.438981,53.71849,677.3921,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","27A3FE08-3315-4AE7-9662-E23C2C5642A8","HU13","0BW",53.72453,-0.4376979
"HU130BX",-0.437602,53.72051,447.2084,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","27A3FE08-3315-4AE7-9662-E23C2C5642A8","HU13","0BX",53.72453,-0.4376979
"HU130BY",-0.433949,53.72257,328.9545,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","27A3FE08-3315-4AE7-9662-E23C2C5642A8","HU13","0BY",53.72453,-0.4376979
"HU130BZ",-0.436985,53.72287,191.0364,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","27A3FE08-3315-4AE7-9662-E23C2C5642A8","HU13","0BZ",53.72453,-0.4376979
"HU130DA",-0.445497,53.72315,526.8277,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","F49153F7-6DDD-4B71-9567-7F82B2FE012F","HU13","0DA",53.72497,-0.4381034
"HU130DB",-0.444454,53.71815,449.4543,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","A0A90001-5107-4306-BE57-7AFAA0958CC3","HU13","0DB",53.7183,-0.45128
"HU130DD",-0.446564,53.71833,310.3307,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","A0A90001-5107-4306-BE57-7AFAA0958CC3","HU13","0DD",53.7183,-0.45128
"HU130DE",-0.43663,53.72506,91.81514,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","27A3FE08-3315-4AE7-9662-E23C2C5642A8","HU13","0DE",53.72453,-0.4376979
"HU130DF",-0.449607,53.71471,225.2743,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","54762AC9-8229-4F32-8C56-D3F03391C850","HU13","0DF",53.71655,-0.4510371
"HU130DG",-0.46071,53.72494,472.9201,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","0368B9FB-2FD3-4A5C-B093-9586C532F9CB","HU13","0DG",53.72165,-0.456154
"HU130DH",-0.461148,53.72357,392.3646,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","0368B9FB-2FD3-4A5C-B093-9586C532F9CB","HU13","0DH",53.72165,-0.456154
"HU130DJ",-0.435664,53.7225,262.7393,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","27A3FE08-3315-4AE7-9662-E23C2C5642A8","HU13","0DJ",53.72453,-0.4376979
"HU130DL",-0.434835,53.72198,340.1721,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","27A3FE08-3315-4AE7-9662-E23C2C5642A8","HU13","0DL",53.72453,-0.4376979
"HU130DN",-0.460382,53.73018,989.0402,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","0368B9FB-2FD3-4A5C-B093-9586C532F9CB","HU13","0DN",53.72165,-0.456154
"HU130DP",-0.436123,53.72197,302.6644,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","27A3FE08-3315-4AE7-9662-E23C2C5642A8","HU13","0DP",53.72453,-0.4376979
"HU130DQ",-0.45948,53.72997,951.2782,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","0368B9FB-2FD3-4A5C-B093-9586C532F9CB","HU13","0DQ",53.72165,-0.456154
"HU130DR",-0.43559,53.72082,435.7954,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","27A3FE08-3315-4AE7-9662-E23C2C5642A8","HU13","0DR",53.72453,-0.4376979
"HU130DS",-0.434929,53.72107,426.0325,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","27A3FE08-3315-4AE7-9662-E23C2C5642A8","HU13","0DS",53.72453,-0.4376979
"HU130DT",-0.435476,53.72023,500.1408,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","27A3FE08-3315-4AE7-9662-E23C2C5642A8","HU13","0DT",53.72453,-0.4376979
"HU130DU",-0.435983,53.71963,557.0081,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","27A3FE08-3315-4AE7-9662-E23C2C5642A8","HU13","0DU",53.72453,-0.4376979
"HU130DW",-0.440174,53.71981,549.1645,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","27A3FE08-3315-4AE7-9662-E23C2C5642A8","HU13","0DW",53.72453,-0.4376979
"HU130DX",-0.435337,53.71947,583.5283,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","27A3FE08-3315-4AE7-9662-E23C2C5642A8","HU13","0DX",53.72453,-0.4376979
"HU130DY",-0.434265,53.72019,533.2745,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","27A3FE08-3315-4AE7-9662-E23C2C5642A8","HU13","0DY",53.72453,-0.4376979
"HU130DZ",-0.423872,53.71902,396.0636,1808.714,"81B33339-508B-33F1-E053-A03BA40A2BEA","7CD596A2-88F6-44C9-A5AA-5262342C2E5D","HU13","0DZ",53.72237,-0.4259135
"HU130EA",-0.433322,53.71825,668.7796,1808.714,"81B33339-508B-33F1-E053-A03BA40A2BEA","7CD596A2-88F6-44C9-A5AA-5262342C2E5D","HU13","0EA",53.72237,-0.4259135
"HU130EB",-0.433439,53.71916,610.247,1808.714,"81B33339-508B-33F1-E053-A03BA40A2BEA","7CD596A2-88F6-44C9-A5AA-5262342C2E5D","HU13","0EB",53.72237,-0.4259135
"HU130ED",-0.436138,53.7175,788.8993,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","27A3FE08-3315-4AE7-9662-E23C2C5642A8","HU13","0ED",53.72453,-0.4376979
"HU130EE",-0.422896,53.71905,419.0503,1808.714,"81B33339-508B-33F1-E053-A03BA40A2BEA","7CD596A2-88F6-44C9-A5AA-5262342C2E5D","HU13","0EE",53.72237,-0.4259135
"HU130EF",-0.448515,53.71678,167.928,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","54762AC9-8229-4F32-8C56-D3F03391C850","HU13","0EF",53.71655,-0.4510371
"HU130EG",-0.428494,53.71821,492.934,1808.714,"81B33339-508B-33F1-E053-A03BA40A2BEA","7CD596A2-88F6-44C9-A5AA-5262342C2E5D","HU13","0EG",53.72237,-0.4259135
"HU130EH",-0.439167,53.71754,783.7297,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","27A3FE08-3315-4AE7-9662-E23C2C5642A8","HU13","0EH",53.72453,-0.4376979
"HU130EJ",-0.427137,53.7191,371.7376,1808.714,"81B33339-508B-33F1-E053-A03BA40A2BEA","7CD596A2-88F6-44C9-A5AA-5262342C2E5D","HU13","0EJ",53.72237,-0.4259135
"HU130EL",-0.444457,53.71751,445.9605,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","54762AC9-8229-4F32-8C56-D3F03391C850","HU13","0EL",53.71655,-0.4510371
"HU130EN",-0.426881,53.71826,461.62,1808.714,"81B33339-508B-33F1-E053-A03BA40A2BEA","7CD596A2-88F6-44C9-A5AA-5262342C2E5D","HU13","0EN",53.72237,-0.4259135
"HU130EP",-0.449128,53.71741,158.375,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","54762AC9-8229-4F32-8C56-D3F03391C850","HU13","0EP",53.71655,-0.4510371
"HU130EQ",-0.439167,53.71754,783.7297,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","27A3FE08-3315-4AE7-9662-E23C2C5642A8","HU13","0EQ",53.72453,-0.4376979
"HU130ER",-0.448791,53.71794,168.6649,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","A0A90001-5107-4306-BE57-7AFAA0958CC3","HU13","0ER",53.7183,-0.45128
"HU130ES",-0.448929,53.72035,250.2779,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","A58A2C3D-2C71-4CE3-A041-6B86A88CDDF1","HU13","0ES",53.71865,-0.4514143
"HU130ET",-0.444876,53.71904,429.303,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","A0A90001-5107-4306-BE57-7AFAA0958CC3","HU13","0ET",53.7183,-0.45128
"HU130EU",-0.44353,53.71965,530.6762,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","A58A2C3D-2C71-4CE3-A041-6B86A88CDDF1","HU13","0EU",53.71865,-0.4514143
"HU130EW",-0.447351,53.71834,258.5672,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","A0A90001-5107-4306-BE57-7AFAA0958CC3","HU13","0EW",53.7183,-0.45128
"HU130EX",-0.442177,53.71853,599.504,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","A0A90001-5107-4306-BE57-7AFAA0958CC3","HU13","0EX",53.7183,-0.45128
"HU130EY",-0.441453,53.71693,632.0932,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","54762AC9-8229-4F32-8C56-D3F03391C850","HU13","0EY",53.71655,-0.4510371
"HU130EZ",-0.44977,53.71767,121.4798,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","A0A90001-5107-4306-BE57-7AFAA0958CC3","HU13","0EZ",53.7183,-0.45128
"HU130FA",-0.462679,53.72414,511.3003,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","0368B9FB-2FD3-4A5C-B093-9586C532F9CB","HU13","0FA",53.72165,-0.456154
"HU130FB",-0.459045,53.73026,976.8234,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","0368B9FB-2FD3-4A5C-B093-9586C532F9CB","HU13","0FB",53.72165,-0.456154
"HU130FD",-0.459019,53.73137,1097.417,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","0368B9FB-2FD3-4A5C-B093-9586C532F9CB","HU13","0FD",53.72165,-0.456154
"HU130FE",-0.459434,53.7304,997.3197,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","0368B9FB-2FD3-4A5C-B093-9586C532F9CB","HU13","0FE",53.72165,-0.456154
"HU130FF",-0.459782,53.73042,1004.034,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","0368B9FB-2FD3-4A5C-B093-9586C532F9CB","HU13","0FF",53.72165,-0.456154
"HU130FG",-0.460315,53.7316,1140.253,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","0368B9FB-2FD3-4A5C-B093-9586C532F9CB","HU13","0FG",53.72165,-0.456154
"HU130FH",-0.459869,53.73135,1106.656,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","0368B9FB-2FD3-4A5C-B093-9586C532F9CB","HU13","0FH",53.72165,-0.456154
"HU130FJ",-0.460813,53.73124,1109.818,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","0368B9FB-2FD3-4A5C-B093-9586C532F9CB","HU13","0FJ",53.72165,-0.456154
"HU130FL",-0.461356,53.73174,1173.378,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","0368B9FB-2FD3-4A5C-B093-9586C532F9CB","HU13","0FL",53.72165,-0.456154
"HU130FN",-0.461781,53.7313,1136.001,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","0368B9FB-2FD3-4A5C-B093-9586C532F9CB","HU13","0FN",53.72165,-0.456154
"HU130FP",-0.462762,53.73225,1256.972,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","0368B9FB-2FD3-4A5C-B093-9586C532F9CB","HU13","0FP",53.72165,-0.456154
"HU130FQ",-0.462355,53.73176,1196.501,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","0368B9FB-2FD3-4A5C-B093-9586C532F9CB","HU13","0FQ",53.72165,-0.456154
"HU130FT",-0.437241,53.72344,125.4624,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","27A3FE08-3315-4AE7-9662-E23C2C5642A8","HU13","0FT",53.72453,-0.4376979
"HU130FX",-0.445069,53.72983,669.713,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","07736BDC-6752-4996-9C80-407CB9E12B08","HU13","0FX",53.72575,-0.4375871
"HU130GA",-0.452076,53.72875,808.0026,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","4098C466-32E4-46DA-A58C-2DCFAFB0B3D9","HU13","0GA",53.72158,-0.4540205
"HU130GD",-0.459295,53.72467,395.1204,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","0368B9FB-2FD3-4A5C-B093-9586C532F9CB","HU13","0GD",53.72165,-0.456154
"HU130GE",-0.463284,53.73206,1249.548,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","0368B9FB-2FD3-4A5C-B093-9586C532F9CB","HU13","0GE",53.72165,-0.456154
"HU130GF",-0.462292,53.73225,1245.985,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","0368B9FB-2FD3-4A5C-B093-9586C532F9CB","HU13","0GF",53.72165,-0.456154
"HU130GJ",-0.461882,53.73103,1109.167,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","0368B9FB-2FD3-4A5C-B093-9586C532F9CB","HU13","0GJ",53.72165,-0.456154
"HU130GN",-0.451945,53.72834,763.9671,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","4098C466-32E4-46DA-A58C-2DCFAFB0B3D9","HU13","0GN",53.72158,-0.4540205
"HU130GP",-0.455626,53.72717,614.6633,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","342B58D2-91B5-47E8-8729-84FED24DF141","HU13","0GP",53.72164,-0.4555993
"HU130GQ",-0.456568,53.7271,607.364,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","0368B9FB-2FD3-4A5C-B093-9586C532F9CB","HU13","0GQ",53.72165,-0.456154
"HU130GS",-0.455998,53.72693,588.0508,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","0368B9FB-2FD3-4A5C-B093-9586C532F9CB","HU13","0GS",53.72165,-0.456154
"HU130GZ",-0.451571,53.72642,561.782,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","4098C466-32E4-46DA-A58C-2DCFAFB0B3D9","HU13","0GZ",53.72158,-0.4540205
"HU130HA",-0.444506,53.71618,431.7317,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","54762AC9-8229-4F32-8C56-D3F03391C850","HU13","0HA",53.71655,-0.4510371
"HU130HB",-0.444528,53.71477,471.8811,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","54762AC9-8229-4F32-8C56-D3F03391C850","HU13","0HB",53.71655,-0.4510371
"HU130HD",-0.445086,53.71526,416.9641,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","54762AC9-8229-4F32-8C56-D3F03391C850","HU13","0HD",53.71655,-0.4510371
"HU130HE",-0.448124,53.71436,309.366,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","54762AC9-8229-4F32-8C56-D3F03391C850","HU13","0HE",53.71655,-0.4510371
"HU130HF",-0.447647,53.72267,422.638,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","BD005904-E5B3-4FCC-B236-D507439D2C6A","HU13","0HF",53.72095,-0.453371
"HU130HG",-0.444985,53.7147,448.0787,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","54762AC9-8229-4F32-8C56-D3F03391C850","HU13","0HG",53.71655,-0.4510371
"HU130HJ",-0.447394,53.71512,287.5927,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","54762AC9-8229-4F32-8C56-D3F03391C850","HU13","0HJ",53.71655,-0.4510371
"HU130HN",-0.444879,53.72416,454.6319,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","F49153F7-6DDD-4B71-9567-7F82B2FE012F","HU13","0HN",53.72497,-0.4381034
"HU130HP",-0.443264,53.72398,356.7959,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","F49153F7-6DDD-4B71-9567-7F82B2FE012F","HU13","0HP",53.72497,-0.4381034
"HU130HQ",-0.442632,53.72343,343.2822,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","F49153F7-6DDD-4B71-9567-7F82B2FE012F","HU13","0HQ",53.72497,-0.4381034
"HU130HR",-0.445148,53.72303,511.2832,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","F49153F7-6DDD-4B71-9567-7F82B2FE012F","HU13","0HR",53.72497,-0.4381034
"HU130HS",-0.441977,53.72228,376.4448,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","27A3FE08-3315-4AE7-9662-E23C2C5642A8","HU13","0HS",53.72453,-0.4376979
"HU130HT",-0.444104,53.72256,474.9146,10981.39,"81B33342-6269-33F1-E053-A03BA40A2BEA","27A3FE08-3315-4AE7-9662-E23C2C5642A8","HU13","0HT",53.72453,-0.4376979
"HU130HU",-0.446162,53.72183,484.2598,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","BD005904-E5B3-4FCC-B236-D507439D2C6A","HU13","0HU",53.72095,-0.453371
"HU130HW",-0.448123,53.72125,346.9236,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","BD005904-E5B3-4FCC-B236-D507439D2C6A","HU13","0HW",53.72095,-0.453371
"HU130HX",-0.449778,53.72119,237.9291,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","BD005904-E5B3-4FCC-B236-D507439D2C6A","HU13","0HX",53.72095,-0.453371
"HU130HY",-0.448511,53.72514,536.734,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","4098C466-32E4-46DA-A58C-2DCFAFB0B3D9","HU13","0HY",53.72158,-0.4540205
"HU130HZ",-0.449302,53.72546,531.9575,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","4098C466-32E4-46DA-A58C-2DCFAFB0B3D9","HU13","0HZ",53.72158,-0.4540205
"HU130JA",-0.462456,53.72096,421.6455,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","0368B9FB-2FD3-4A5C-B093-9586C532F9CB","HU13","0JA",53.72165,-0.456154
"HU130JB",-0.460891,53.71942,398.0976,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","0368B9FB-2FD3-4A5C-B093-9586C532F9CB","HU13","0JB",53.72165,-0.456154
"HU130JD",-0.461421,53.72207,349.7098,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","0368B9FB-2FD3-4A5C-B093-9586C532F9CB","HU13","0JD",53.72165,-0.456154
"HU130JE",-0.463297,53.72326,503.0897,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","0368B9FB-2FD3-4A5C-B093-9586C532F9CB","HU13","0JE",53.72165,-0.456154
"HU130JF",-0.459908,53.71937,353.6613,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","0368B9FB-2FD3-4A5C-B093-9586C532F9CB","HU13","0JF",53.72165,-0.456154
"HU130JG",-0.429217,53.72063,290.6081,1808.714,"81B33339-508B-33F1-E053-A03BA40A2BEA","7CD596A2-88F6-44C9-A5AA-5262342C2E5D","HU13","0JG",53.72237,-0.4259135
"HU130JH",-0.449689,53.72566,535.6499,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","4098C466-32E4-46DA-A58C-2DCFAFB0B3D9","HU13","0JH",53.72158,-0.4540205
"HU130JJ",-0.453427,53.72622,518.2947,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","4098C466-32E4-46DA-A58C-2DCFAFB0B3D9","HU13","0JJ",53.72158,-0.4540205
"HU130JL",-0.454892,53.72651,543.601,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","342B58D2-91B5-47E8-8729-84FED24DF141","HU13","0JL",53.72164,-0.4555993
"HU130JN",-0.453585,53.72853,773.4346,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","4098C466-32E4-46DA-A58C-2DCFAFB0B3D9","HU13","0JN",53.72158,-0.4540205
"HU130JP",-0.455177,53.72812,720.4982,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","342B58D2-91B5-47E8-8729-84FED24DF141","HU13","0JP",53.72164,-0.4555993
"HU130JQ",-0.452605,53.72522,415.3132,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","4098C466-32E4-46DA-A58C-2DCFAFB0B3D9","HU13","0JQ",53.72158,-0.4540205
"HU130JR",-0.454746,53.7283,742.4364,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","342B58D2-91B5-47E8-8729-84FED24DF141","HU13","0JR",53.72164,-0.4555993
"HU130JS",-0.451559,53.72757,685.45,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","4098C466-32E4-46DA-A58C-2DCFAFB0B3D9","HU13","0JS",53.72158,-0.4540205
"HU130JT",-0.451148,53.72843,785.5224,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","4098C466-32E4-46DA-A58C-2DCFAFB0B3D9","HU13","0JT",53.72158,-0.4540205
"HU130JU",-0.459249,53.72964,912.528,301954.3,"81B33342-624E-33F1-E053-A03BA40A2BEA","0368B9FB-2FD3-4A5C-B093-9586C532F9CB","HU13","0JU",53.72165,-0.456154
