"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
12430,"EC1Y0TU","E01002706","9E8910BD-28C1-2C71-E053-A03BA40A7146","Public Park Or Garden",2305.09750000069,224.36131,13,71172,27.2826086956522,"Less than or equal to 300m",195.813524271739,2812.22129619678,11.8913043478261,76583.1739130435,4466.76054964612,"EC1Y 0TU","EC1Y","0TU","EC1Y0TU"
12431,"EC1Y8QZ","E01002704","9E8910BD-28C1-2C71-E053-A03BA40A7146","Public Park Or Garden",2305.09750000069,223.54417,8,124215,13.5659340659341,"Less than or equal to 300m",141.849944961538,17531.2075964272,8.23626373626374,65101.5274725275,4466.76054964612,"EC1Y 8QZ","EC1Y","8QZ","EC1Y8QZ"
16726,"EC1Y0SQ","E01000003","9E89103E-44C6-2C71-E053-A03BA40A7146","Public Park Or Garden",3238.88075000294,184.16568,12,63007,47.4117647058824,"Less than or equal to 300m",153.085217058824,3537.76792647269,10.5294117647059,55801.2352941176,3537.1787358236,"EC1Y 0SQ","EC1Y","0SQ","EC1Y0SQ"
16727,"EC1Y8NH","E01002704","9E8910BD-292C-2C71-E053-A03BA40A7146","Playing Field",24859.3526499975,78.39005,8,41306,13.5659340659341,"Less than or equal to 300m",141.849944961538,17531.2075964272,8.23626373626374,65101.5274725275,3282.34643674171,"EC1Y 8NH","EC1Y","8NH","EC1Y8NH"
16728,"EC1Y8QA","E01002706","9E8910BD-28C1-2C71-E053-A03BA40A7146","Public Park Or Garden",2305.09750000069,75,8,48548,27.2826086956522,"Less than or equal to 300m",195.813524271739,2812.22129619678,11.8913043478261,76583.1739130435,4466.76054964612,"EC1Y 8QA","EC1Y","8QA","EC1Y8QA"
26302,"EC1Y0TG","E01002706","9E8910BD-289E-2C71-E053-A03BA40A7146","Public Park Or Garden",3662.30425000176,179.23448,13,71172,27.2826086956522,"Less than or equal to 300m",195.813524271739,2812.22129619678,11.8913043478261,76583.1739130435,2671.89788126799,"EC1Y 0TG","EC1Y","0TG","EC1Y0TG"
47897,"EC1Y1AG","E01002704","9E8910BD-292C-2C71-E053-A03BA40A7146","Playing Field",24859.3526499975,81.3019,7,39814,13.5659340659341,"Less than or equal to 300m",141.849944961538,17531.2075964272,8.23626373626374,65101.5274725275,3282.34643674171,"EC1Y 1AG","EC1Y","1AG","EC1Y1AG"
53687,"EC1Y0SE","E01002706","9E8910BD-289E-2C71-E053-A03BA40A7146","Public Park Or Garden",3662.30425000176,65.51336,10,50229,27.2826086956522,"Less than or equal to 300m",195.813524271739,2812.22129619678,11.8913043478261,76583.1739130435,2671.89788126799,"EC1Y 0SE","EC1Y","0SE","EC1Y0SE"
53688,"EC1Y0TN","E01000003","9E8910BD-289E-2C71-E053-A03BA40A7146","Public Park Or Garden",3662.30425000176,163.68567,11,59457,47.4117647058824,"Less than or equal to 300m",153.085217058824,3537.76792647269,10.5294117647059,55801.2352941176,2671.89788126799,"EC1Y 0TN","EC1Y","0TN","EC1Y0TN"
53689,"EC1Y8LZ","E01002704","9E8910BD-292C-2C71-E053-A03BA40A7146","Playing Field",24859.3526499975,33.06055,8,41306,13.5659340659341,"Less than or equal to 300m",141.849944961538,17531.2075964272,8.23626373626374,65101.5274725275,3282.34643674171,"EC1Y 8LZ","EC1Y","8LZ","EC1Y8LZ"
58507,"EC1Y8SE","E01002704","9E8910BD-292C-2C71-E053-A03BA40A7146","Playing Field",24859.3526499975,130.04999,9,46328,13.5659340659341,"Less than or equal to 300m",141.849944961538,17531.2075964272,8.23626373626374,65101.5274725275,3282.34643674171,"EC1Y 8SE","EC1Y","8SE","EC1Y8SE"
66384,"EC1Y8PR","E01002704","9E8910BD-28C1-2C71-E053-A03BA40A7146","Public Park Or Garden",2305.09750000069,97.29337,10,55088,13.5659340659341,"Less than or equal to 300m",141.849944961538,17531.2075964272,8.23626373626374,65101.5274725275,4466.76054964612,"EC1Y 8PR","EC1Y","8PR","EC1Y8PR"
66385,"EC1Y8SA","E01002704","9E8910BD-28C1-2C71-E053-A03BA40A7146","Public Park Or Garden",2305.09750000069,128.68954,9,46328,13.5659340659341,"Less than or equal to 300m",141.849944961538,17531.2075964272,8.23626373626374,65101.5274725275,4466.76054964612,"EC1Y 8SA","EC1Y","8SA","EC1Y8SA"
69520,"EC1Y8PU","E01002706","9E8910BD-28C1-2C71-E053-A03BA40A7146","Public Park Or Garden",2305.09750000069,147.33974,11,58989,27.2826086956522,"Less than or equal to 300m",195.813524271739,2812.22129619678,11.8913043478261,76583.1739130435,4466.76054964612,"EC1Y 8PU","EC1Y","8PU","EC1Y8PU"
94129,"EC1Y8LP","E01002704","9E8910BD-292C-2C71-E053-A03BA40A7146","Playing Field",24859.3526499975,34.20526,7,39788,13.5659340659341,"Less than or equal to 300m",141.849944961538,17531.2075964272,8.23626373626374,65101.5274725275,3282.34643674171,"EC1Y 8LP","EC1Y","8LP","EC1Y8LP"
94130,"EC1Y8QQ","E01002706","9E8910BD-28C1-2C71-E053-A03BA40A7146","Public Park Or Garden",2305.09750000069,75,8,48548,27.2826086956522,"Less than or equal to 300m",195.813524271739,2812.22129619678,11.8913043478261,76583.1739130435,4466.76054964612,"EC1Y 8QQ","EC1Y","8QQ","EC1Y8QQ"
100030,"EC1Y8SB","E01002704","9E8910BD-28C1-2C71-E053-A03BA40A7146","Public Park Or Garden",2305.09750000069,105.68822,9,46328,13.5659340659341,"Less than or equal to 300m",141.849944961538,17531.2075964272,8.23626373626374,65101.5274725275,4466.76054964612,"EC1Y 8SB","EC1Y","8SB","EC1Y8SB"
105037,"EC1Y0SR","E01033490","9E89103E-44C6-2C71-E053-A03BA40A7146","Public Park Or Garden",3238.88075000294,202.48457,12,61118,22.063829787234,"Less than or equal to 300m",206.49901706383,3154.40877021536,12.6489361702128,65960.5319148936,3537.1787358236,"EC1Y 0SR","EC1Y","0SR","EC1Y0SR"
105038,"EC1Y1AU","E01002704","9E8910BD-292C-2C71-E053-A03BA40A7146","Playing Field",24859.3526499975,141.35417,7,39814,13.5659340659341,"Less than or equal to 300m",141.849944961538,17531.2075964272,8.23626373626374,65101.5274725275,3282.34643674171,"EC1Y 1AU","EC1Y","1AU","EC1Y1AU"
105039,"EC1Y8QD","E01002704","9E8910BD-28C1-2C71-E053-A03BA40A7146","Public Park Or Garden",2305.09750000069,117.388245,8,122034,13.5659340659341,"Less than or equal to 300m",141.849944961538,17531.2075964272,8.23626373626374,65101.5274725275,4466.76054964612,"EC1Y 8QD","EC1Y","8QD","EC1Y8QD"
105040,"EC1Y8QP","E01002706","9E8910BD-28C1-2C71-E053-A03BA40A7146","Public Park Or Garden",2305.09750000069,197.43353,12,63358,27.2826086956522,"Less than or equal to 300m",195.813524271739,2812.22129619678,11.8913043478261,76583.1739130435,4466.76054964612,"EC1Y 8QP","EC1Y","8QP","EC1Y8QP"
116139,"EC1Y8RS","E01002704","9E8910BD-28C1-2C71-E053-A03BA40A7146","Public Park Or Garden",2305.09750000069,215.72437,9,124386,13.5659340659341,"Less than or equal to 300m",141.849944961538,17531.2075964272,8.23626373626374,65101.5274725275,4466.76054964612,"EC1Y 8RS","EC1Y","8RS","EC1Y8RS"
