"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"KA106AA",-4.663074,55.54439,5397.809,201867.7,"81B332FC-0253-33F1-E053-A03BA40A2BEA","C8F4185C-641F-4E04-B5D9-68B6E34BB5B9","KA10","6AA",55.59159,-4.64301
"KA106AB",-4.665302,55.54328,5537.017,655567.4,"81B333A1-5AC0-33F1-E053-A03BA40A2BEA","73FF35B4-E11A-4EEC-8126-5E1F896A8A22","KA10","6AB",55.59296,-4.671233
"KA106AD",-4.655335,55.54968,4724.86,201867.7,"81B332FC-0253-33F1-E053-A03BA40A2BEA","C8F4185C-641F-4E04-B5D9-68B6E34BB5B9","KA10","6AD",55.59159,-4.64301
"KA106AE",-4.665467,55.54313,5552.639,655567.4,"81B333A1-5AC0-33F1-E053-A03BA40A2BEA","73FF35B4-E11A-4EEC-8126-5E1F896A8A22","KA10","6AE",55.59296,-4.671233
"KA106AF",-4.661832,55.54424,5396.584,201867.7,"81B332FC-0253-33F1-E053-A03BA40A2BEA","C8F4185C-641F-4E04-B5D9-68B6E34BB5B9","KA10","6AF",55.59159,-4.64301
"KA106AG",-4.665113,55.54282,5588.192,655567.4,"81B333A1-5AC0-33F1-E053-A03BA40A2BEA","73FF35B4-E11A-4EEC-8126-5E1F896A8A22","KA10","6AG",55.59296,-4.671233
"KA106AH",-4.665835,55.54247,5623.875,655567.4,"81B333A1-5AC0-33F1-E053-A03BA40A2BEA","73FF35B4-E11A-4EEC-8126-5E1F896A8A22","KA10","6AH",55.59296,-4.671233
"KA106AJ",-4.667837,55.54231,5635.573,655567.4,"81B333A1-5AC0-33F1-E053-A03BA40A2BEA","73FF35B4-E11A-4EEC-8126-5E1F896A8A22","KA10","6AJ",55.59296,-4.671233
"KA106AL",-4.669221,55.54261,5599.264,655567.4,"81B333A1-5AC0-33F1-E053-A03BA40A2BEA","73FF35B4-E11A-4EEC-8126-5E1F896A8A22","KA10","6AL",55.59296,-4.671233
"KA106AN",-4.671512,55.5411,5766.322,655567.4,"81B333A1-5AC0-33F1-E053-A03BA40A2BEA","73FF35B4-E11A-4EEC-8126-5E1F896A8A22","KA10","6AN",55.59296,-4.671233
"KA106AP",-4.672535,55.5417,5700.388,655567.4,"81B333A1-5AC0-33F1-E053-A03BA40A2BEA","73FF35B4-E11A-4EEC-8126-5E1F896A8A22","KA10","6AP",55.59296,-4.671233
"KA106AQ",-4.665153,55.54247,5626.958,655567.4,"81B333A1-5AC0-33F1-E053-A03BA40A2BEA","73FF35B4-E11A-4EEC-8126-5E1F896A8A22","KA10","6AQ",55.59296,-4.671233
"KA106AR",-4.67089,55.54269,5589.982,655567.4,"81B333A1-5AC0-33F1-E053-A03BA40A2BEA","73FF35B4-E11A-4EEC-8126-5E1F896A8A22","KA10","6AR",55.59296,-4.671233
"KA106AS",-4.66791,55.54315,5542.618,655567.4,"81B333A1-5AC0-33F1-E053-A03BA40A2BEA","73FF35B4-E11A-4EEC-8126-5E1F896A8A22","KA10","6AS",55.59296,-4.671233
"KA106AT",-4.668185,55.54346,5506.766,655567.4,"81B333A1-5AC0-33F1-E053-A03BA40A2BEA","73FF35B4-E11A-4EEC-8126-5E1F896A8A22","KA10","6AT",55.59296,-4.671233
"KA106AU",-4.66152,55.54408,5410.125,201867.7,"81B332FC-0253-33F1-E053-A03BA40A2BEA","C8F4185C-641F-4E04-B5D9-68B6E34BB5B9","KA10","6AU",55.59159,-4.64301
"KA106AW",-4.672082,55.54249,5611.988,655567.4,"81B333A1-5AC0-33F1-E053-A03BA40A2BEA","73FF35B4-E11A-4EEC-8126-5E1F896A8A22","KA10","6AW",55.59296,-4.671233
"KA106AX",-4.661812,55.54424,5396.417,201867.7,"81B332FC-0253-33F1-E053-A03BA40A2BEA","C8F4185C-641F-4E04-B5D9-68B6E34BB5B9","KA10","6AX",55.59159,-4.64301
"KA106AY",-4.663829,55.54259,5604.058,201867.7,"81B332FC-0253-33F1-E053-A03BA40A2BEA","C8F4185C-641F-4E04-B5D9-68B6E34BB5B9","KA10","6AY",55.59159,-4.64301
"KA106AZ",-4.663539,55.54416,5429.987,201867.7,"81B332FC-0253-33F1-E053-A03BA40A2BEA","C8F4185C-641F-4E04-B5D9-68B6E34BB5B9","KA10","6AZ",55.59159,-4.64301
"KA106BA",-4.667433,55.54407,5440.849,655567.4,"81B333A1-5AC0-33F1-E053-A03BA40A2BEA","73FF35B4-E11A-4EEC-8126-5E1F896A8A22","KA10","6BA",55.59296,-4.671233
"KA106BB",-4.674915,55.54173,5701.278,655567.4,"81B333A1-5AC0-33F1-E053-A03BA40A2BEA","73FF35B4-E11A-4EEC-8126-5E1F896A8A22","KA10","6BB",55.59296,-4.671233
"KA106BD",-4.673766,55.54254,5608.102,655567.4,"81B333A1-5AC0-33F1-E053-A03BA40A2BEA","73FF35B4-E11A-4EEC-8126-5E1F896A8A22","KA10","6BD",55.59296,-4.671233
"KA106BE",-4.66578,55.54431,5420.546,655567.4,"81B333A1-5AC0-33F1-E053-A03BA40A2BEA","73FF35B4-E11A-4EEC-8126-5E1F896A8A22","KA10","6BE",55.59296,-4.671233
"KA106BF",-4.672487,55.54333,5519.338,655567.4,"81B333A1-5AC0-33F1-E053-A03BA40A2BEA","73FF35B4-E11A-4EEC-8126-5E1F896A8A22","KA10","6BF",55.59296,-4.671233
"KA106BG",-4.66654,55.54352,5505.338,655567.4,"81B333A1-5AC0-33F1-E053-A03BA40A2BEA","73FF35B4-E11A-4EEC-8126-5E1F896A8A22","KA10","6BG",55.59296,-4.671233
"KA106BH",-4.671267,55.54379,5466.848,655567.4,"81B333A1-5AC0-33F1-E053-A03BA40A2BEA","73FF35B4-E11A-4EEC-8126-5E1F896A8A22","KA10","6BH",55.59296,-4.671233
"KA106BJ",-4.664444,55.54371,5492.397,201867.7,"81B332FC-0253-33F1-E053-A03BA40A2BEA","C8F4185C-641F-4E04-B5D9-68B6E34BB5B9","KA10","6BJ",55.59159,-4.64301
"KA106BL",-4.666824,55.54445,5401.244,655567.4,"81B333A1-5AC0-33F1-E053-A03BA40A2BEA","73FF35B4-E11A-4EEC-8126-5E1F896A8A22","KA10","6BL",55.59296,-4.671233
"KA106BN",-4.667433,55.54407,5440.849,655567.4,"81B333A1-5AC0-33F1-E053-A03BA40A2BEA","73FF35B4-E11A-4EEC-8126-5E1F896A8A22","KA10","6BN",55.59296,-4.671233
"KA106BP",-4.67278,55.54274,5585.338,655567.4,"81B333A1-5AC0-33F1-E053-A03BA40A2BEA","73FF35B4-E11A-4EEC-8126-5E1F896A8A22","KA10","6BP",55.59296,-4.671233
"KA106BQ",-4.667077,55.54419,5428.995,655567.4,"81B333A1-5AC0-33F1-E053-A03BA40A2BEA","73FF35B4-E11A-4EEC-8126-5E1F896A8A22","KA10","6BQ",55.59296,-4.671233
"KA106BS",-4.66435,55.5449,5361.691,655567.4,"81B333A1-5AC0-33F1-E053-A03BA40A2BEA","73FF35B4-E11A-4EEC-8126-5E1F896A8A22","KA10","6BS",55.59296,-4.671233
"KA106BT",-4.67329,55.54347,5504.283,655567.4,"81B333A1-5AC0-33F1-E053-A03BA40A2BEA","73FF35B4-E11A-4EEC-8126-5E1F896A8A22","KA10","6BT",55.59296,-4.671233
"KA106BU",-4.674349,55.54272,5589.705,655567.4,"81B333A1-5AC0-33F1-E053-A03BA40A2BEA","73FF35B4-E11A-4EEC-8126-5E1F896A8A22","KA10","6BU",55.59296,-4.671233
"KA106BW",-4.667433,55.54407,5440.849,655567.4,"81B333A1-5AC0-33F1-E053-A03BA40A2BEA","73FF35B4-E11A-4EEC-8126-5E1F896A8A22","KA10","6BW",55.59296,-4.671233
"KA106BX",-4.674167,55.54285,5574.868,655567.4,"81B333A1-5AC0-33F1-E053-A03BA40A2BEA","73FF35B4-E11A-4EEC-8126-5E1F896A8A22","KA10","6BX",55.59296,-4.671233
"KA106BY",-4.677563,55.54336,5529.447,655567.4,"81B333A1-5AC0-33F1-E053-A03BA40A2BEA","73FF35B4-E11A-4EEC-8126-5E1F896A8A22","KA10","6BY",55.59296,-4.671233
"KA106BZ",-4.674876,55.54301,5558.3,655567.4,"81B333A1-5AC0-33F1-E053-A03BA40A2BEA","73FF35B4-E11A-4EEC-8126-5E1F896A8A22","KA10","6BZ",55.59296,-4.671233
"KA106DA",-4.679382,55.544,5467.664,655567.4,"81B333A1-5AC0-33F1-E053-A03BA40A2BEA","73FF35B4-E11A-4EEC-8126-5E1F896A8A22","KA10","6DA",55.59296,-4.671233
"KA106DB",-4.6765,55.54335,5525.482,655567.4,"81B333A1-5AC0-33F1-E053-A03BA40A2BEA","73FF35B4-E11A-4EEC-8126-5E1F896A8A22","KA10","6DB",55.59296,-4.671233
"KA106DD",-4.671446,55.5448,5355.335,655567.4,"81B333A1-5AC0-33F1-E053-A03BA40A2BEA","73FF35B4-E11A-4EEC-8126-5E1F896A8A22","KA10","6DD",55.59296,-4.671233
"KA106DE",-4.676271,55.54372,5484.23,655567.4,"81B333A1-5AC0-33F1-E053-A03BA40A2BEA","73FF35B4-E11A-4EEC-8126-5E1F896A8A22","KA10","6DE",55.59296,-4.671233
"KA106DF",-4.684499,55.54635,5248.984,655567.4,"81B333A1-5AC0-33F1-E053-A03BA40A2BEA","73FF35B4-E11A-4EEC-8126-5E1F896A8A22","KA10","6DF",55.59296,-4.671233
"KA106DG",-4.684543,55.54622,5264.244,655567.4,"81B333A1-5AC0-33F1-E053-A03BA40A2BEA","73FF35B4-E11A-4EEC-8126-5E1F896A8A22","KA10","6DG",55.59296,-4.671233
"KA106DH",-4.683264,55.548,5056.277,655567.4,"81B333A1-5AC0-33F1-E053-A03BA40A2BEA","73FF35B4-E11A-4EEC-8126-5E1F896A8A22","KA10","6DH",55.59296,-4.671233
"KA106DJ",-4.678455,55.54514,5336.862,655567.4,"81B333A1-5AC0-33F1-E053-A03BA40A2BEA","73FF35B4-E11A-4EEC-8126-5E1F896A8A22","KA10","6DJ",55.59296,-4.671233
"KA106DL",-4.677723,55.54385,5475.844,655567.4,"81B333A1-5AC0-33F1-E053-A03BA40A2BEA","73FF35B4-E11A-4EEC-8126-5E1F896A8A22","KA10","6DL",55.59296,-4.671233
"KA106DN",-4.681261,55.54583,5278.132,655567.4,"81B333A1-5AC0-33F1-E053-A03BA40A2BEA","73FF35B4-E11A-4EEC-8126-5E1F896A8A22","KA10","6DN",55.59296,-4.671233
"KA106DP",-4.669642,55.54345,5505.785,655567.4,"81B333A1-5AC0-33F1-E053-A03BA40A2BEA","73FF35B4-E11A-4EEC-8126-5E1F896A8A22","KA10","6DP",55.59296,-4.671233
"KA106DQ",-4.684478,55.54767,5104.675,655567.4,"81B333A1-5AC0-33F1-E053-A03BA40A2BEA","73FF35B4-E11A-4EEC-8126-5E1F896A8A22","KA10","6DQ",55.59296,-4.671233
"KA106DR",-4.670787,55.5435,5499.721,655567.4,"81B333A1-5AC0-33F1-E053-A03BA40A2BEA","73FF35B4-E11A-4EEC-8126-5E1F896A8A22","KA10","6DR",55.59296,-4.671233
"KA106DS",-4.666955,55.54357,5498.004,655567.4,"81B333A1-5AC0-33F1-E053-A03BA40A2BEA","73FF35B4-E11A-4EEC-8126-5E1F896A8A22","KA10","6DS",55.59296,-4.671233
"KA106DT",-4.661832,55.54424,5396.584,201867.7,"81B332FC-0253-33F1-E053-A03BA40A2BEA","C8F4185C-641F-4E04-B5D9-68B6E34BB5B9","KA10","6DT",55.59159,-4.64301
"KA106DU",-4.646794,55.53821,4653.732,5431.728,"81B33340-D683-33F1-E053-A03BA40A2BEA","182C1ED7-35B6-4AC6-BF79-106EE9EC3FF9","KA10","6DU",55.50111,-4.612573
"KA106DW",-4.684207,55.54804,5060.765,655567.4,"81B333A1-5AC0-33F1-E053-A03BA40A2BEA","73FF35B4-E11A-4EEC-8126-5E1F896A8A22","KA10","6DW",55.59296,-4.671233
"KA106DX",-4.681297,55.54814,5023.487,655567.4,"81B333A1-5AC0-33F1-E053-A03BA40A2BEA","73FF35B4-E11A-4EEC-8126-5E1F896A8A22","KA10","6DX",55.59296,-4.671233
"KA106DY",-4.671811,55.54083,5780.208,5431.728,"81B33340-D683-33F1-E053-A03BA40A2BEA","182C1ED7-35B6-4AC6-BF79-106EE9EC3FF9","KA10","6DY",55.50111,-4.612573
"KA106DZ",-4.664815,55.54357,5506.005,655567.4,"81B333A1-5AC0-33F1-E053-A03BA40A2BEA","73FF35B4-E11A-4EEC-8126-5E1F896A8A22","KA10","6DZ",55.59296,-4.671233
"KA106EA",-4.663042,55.54407,5432.163,201867.7,"81B332FC-0253-33F1-E053-A03BA40A2BEA","C8F4185C-641F-4E04-B5D9-68B6E34BB5B9","KA10","6EA",55.59159,-4.64301
"KA106EB",-4.663273,55.5435,5497.403,201867.7,"81B332FC-0253-33F1-E053-A03BA40A2BEA","C8F4185C-641F-4E04-B5D9-68B6E34BB5B9","KA10","6EB",55.59159,-4.64301
"KA106ED",-4.663355,55.54355,5492.868,201867.7,"81B332FC-0253-33F1-E053-A03BA40A2BEA","C8F4185C-641F-4E04-B5D9-68B6E34BB5B9","KA10","6ED",55.59159,-4.64301
"KA106EE",-4.662512,55.54304,5536.273,201867.7,"81B332FC-0253-33F1-E053-A03BA40A2BEA","C8F4185C-641F-4E04-B5D9-68B6E34BB5B9","KA10","6EE",55.59159,-4.64301
