"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"BA77AA",-2.514129,51.089825,396.045364672025,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","B1A3E0FE-248B-4C47-A6E5-D128A6931F62","BA7","7AA",51.09325045,-2.515682577
"BA77AB",-2.514354,51.089554,421.369887544409,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","B1A3E0FE-248B-4C47-A6E5-D128A6931F62","BA7","7AB",51.09325045,-2.515682577
"BA77AD",-2.514957,51.089636,405.0909396296,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","B1A3E0FE-248B-4C47-A6E5-D128A6931F62","BA7","7AD",51.09325045,-2.515682577
"BA77AE",-2.515049,51.090361,324.325275731149,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","B1A3E0FE-248B-4C47-A6E5-D128A6931F62","BA7","7AE",51.09325045,-2.515682577
"BA77AF",-2.51559,51.090083,351.76462554311,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","05296001-224F-41B0-98A3-7E45275BA919","BA7","7AF",51.0927697,-2.518249087
"BA77AG",-2.513843,51.089818,402.714309726469,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","B1A3E0FE-248B-4C47-A6E5-D128A6931F62","BA7","7AG",51.09325045,-2.515682577
"BA77AH",-2.513569,51.089585,433.486231875187,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","B1A3E0FE-248B-4C47-A6E5-D128A6931F62","BA7","7AH",51.09325045,-2.515682577
"BA77AJ",-2.51415,51.089196,463.366344147265,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","B1A3E0FE-248B-4C47-A6E5-D128A6931F62","BA7","7AJ",51.09325045,-2.515682577
"BA77AL",-2.514254,51.089378,442.004835349768,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","B1A3E0FE-248B-4C47-A6E5-D128A6931F62","BA7","7AL",51.09325045,-2.515682577
"BA77AN",-2.51303,51.089839,422.155172974253,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","B1A3E0FE-248B-4C47-A6E5-D128A6931F62","BA7","7AN",51.09325045,-2.515682577
"BA77AP",-2.513005,51.090244,383.049152605568,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","B1A3E0FE-248B-4C47-A6E5-D128A6931F62","BA7","7AP",51.09325045,-2.515682577
"BA77AQ",-2.511904,51.090096,438.942906155579,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","B1A3E0FE-248B-4C47-A6E5-D128A6931F62","BA7","7AQ",51.09325045,-2.515682577
"BA77AR",-2.511221,51.090315,451.254667542206,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","B1A3E0FE-248B-4C47-A6E5-D128A6931F62","BA7","7AR",51.09325045,-2.515682577
"BA77AS",-2.513005,51.090244,383.049152605568,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","B1A3E0FE-248B-4C47-A6E5-D128A6931F62","BA7","7AS",51.09325045,-2.515682577
"BA77AT",-2.511101,51.089731,505.504008708138,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","B1A3E0FE-248B-4C47-A6E5-D128A6931F62","BA7","7AT",51.09325045,-2.515682577
"BA77AU",-2.509708,51.090339,528.119346431602,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","B1A3E0FE-248B-4C47-A6E5-D128A6931F62","BA7","7AU",51.09325045,-2.515682577
"BA77AW",-2.513404,51.090116,383.14531315547,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","B1A3E0FE-248B-4C47-A6E5-D128A6931F62","BA7","7AW",51.09325045,-2.515682577
"BA77AX",-2.511039,51.089317,544.495287612434,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","B1A3E0FE-248B-4C47-A6E5-D128A6931F62","BA7","7AX",51.09325045,-2.515682577
"BA77AY",-2.509407,51.090197,554.407789434135,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","B1A3E0FE-248B-4C47-A6E5-D128A6931F62","BA7","7AY",51.09325045,-2.515682577
"BA77AZ",-2.509011,51.090585,552.211587486789,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","B1A3E0FE-248B-4C47-A6E5-D128A6931F62","BA7","7AZ",51.09325045,-2.515682577
"BA77BA",-2.514345,51.087468,649.526349324589,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","05296001-224F-41B0-98A3-7E45275BA919","BA7","7BA",51.0927697,-2.518249087
"BA77BB",-2.514849,51.087835,597.894266885435,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","05296001-224F-41B0-98A3-7E45275BA919","BA7","7BB",51.0927697,-2.518249087
"BA77BD",-2.51534,51.088133,554.166429295532,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","05296001-224F-41B0-98A3-7E45275BA919","BA7","7BD",51.0927697,-2.518249087
"BA77BE",-2.515155,51.088373,534.519643161844,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","05296001-224F-41B0-98A3-7E45275BA919","BA7","7BE",51.0927697,-2.518249087
"BA77BF",-2.521284,51.088679,470.418081008407,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","9492D7DA-4043-4647-8CBD-41C088A157FB","BA7","7BF",51.0927195,-2.519287778
"BA77BG",-2.514174,51.088764,509.875213365106,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","B1A3E0FE-248B-4C47-A6E5-D128A6931F62","BA7","7BG",51.09325045,-2.515682577
"BA77BH",-2.515388,51.088591,505.795040380703,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","05296001-224F-41B0-98A3-7E45275BA919","BA7","7BH",51.0927697,-2.518249087
"BA77BJ",-2.515049,51.088952,479.748306538643,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","05296001-224F-41B0-98A3-7E45275BA919","BA7","7BJ",51.0927697,-2.518249087
"BA77BL",-2.514523,51.089311,445.470455570434,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","B1A3E0FE-248B-4C47-A6E5-D128A6931F62","BA7","7BL",51.09325045,-2.515682577
"BA77BN",-2.51522,51.089101,459.533009609435,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","05296001-224F-41B0-98A3-7E45275BA919","BA7","7BN",51.0927697,-2.518249087
"BA77BP",-2.5143,51.089807,394.881953484168,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","B1A3E0FE-248B-4C47-A6E5-D128A6931F62","BA7","7BP",51.09325045,-2.515682577
"BA77BQ",-2.514547,51.088711,510.956806881735,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","B1A3E0FE-248B-4C47-A6E5-D128A6931F62","BA7","7BQ",51.09325045,-2.515682577
"BA77BR",-2.516206,51.089178,424.104296386171,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","05296001-224F-41B0-98A3-7E45275BA919","BA7","7BR",51.0927697,-2.518249087
"BA77BS",-2.521178,51.089285,404.072915946684,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","9492D7DA-4043-4647-8CBD-41C088A157FB","BA7","7BS",51.0927195,-2.519287778
"BA77BT",-2.521091,51.090604,266.823081217429,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","9492D7DA-4043-4647-8CBD-41C088A157FB","BA7","7BT",51.0927195,-2.519287778
"BA77BU",-2.516547,51.088978,438.056466172548,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","05296001-224F-41B0-98A3-7E45275BA919","BA7","7BU",51.0927697,-2.518249087
"BA77BW",-2.514848,51.089049,470.802367723664,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","B1A3E0FE-248B-4C47-A6E5-D128A6931F62","BA7","7BW",51.09325045,-2.515682577
"BA77BX",-2.518059,51.0889,430.496806720423,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","05296001-224F-41B0-98A3-7E45275BA919","BA7","7BX",51.0927697,-2.518249087
"BA77BY",-2.519567,51.089463,362.631899065803,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","9492D7DA-4043-4647-8CBD-41C088A157FB","BA7","7BY",51.0927195,-2.519287778
"BA77BZ",-2.52014,51.089853,324.250529987471,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","9492D7DA-4043-4647-8CBD-41C088A157FB","BA7","7BZ",51.0927195,-2.519287778
"BA77DA",-2.520502,51.090265,285.799293295642,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","9492D7DA-4043-4647-8CBD-41C088A157FB","BA7","7DA",51.0927195,-2.519287778
"BA77DB",-2.520004,51.091715,122.384627415773,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","9492D7DA-4043-4647-8CBD-41C088A157FB","BA7","7DB",51.0927195,-2.519287778
"BA77DD",-2.517653,51.090835,219.12077929439,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","05296001-224F-41B0-98A3-7E45275BA919","BA7","7DD",51.0927697,-2.518249087
"BA77DE",-2.516624,51.089491,381.833481866512,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","05296001-224F-41B0-98A3-7E45275BA919","BA7","7DE",51.0927697,-2.518249087
"BA77DF",-2.516301,51.091254,216.599632783597,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","05296001-224F-41B0-98A3-7E45275BA919","BA7","7DF",51.0927697,-2.518249087
"BA77DG",-2.519091,51.090505,246.625267703647,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","9492D7DA-4043-4647-8CBD-41C088A157FB","BA7","7DG",51.0927195,-2.519287778
"BA77DH",-2.516142,51.089825,358.985023583195,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","05296001-224F-41B0-98A3-7E45275BA919","BA7","7DH",51.0927697,-2.518249087
"BA77DJ",-2.518502,51.091311,163.159969557859,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","05296001-224F-41B0-98A3-7E45275BA919","BA7","7DJ",51.0927697,-2.518249087
"BA77DL",-2.517498,51.092346,70.5066829331456,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","05296001-224F-41B0-98A3-7E45275BA919","BA7","7DL",51.0927697,-2.518249087
"BA77DN",-2.521744,51.090223,326.324039544353,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","9492D7DA-4043-4647-8CBD-41C088A157FB","BA7","7DN",51.0927195,-2.519287778
"BA77DP",-2.52327,51.090054,406.443008254983,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","9492D7DA-4043-4647-8CBD-41C088A157FB","BA7","7DP",51.0927195,-2.519287778
"BA77DQ",-2.517756,51.089845,327.031041425652,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","05296001-224F-41B0-98A3-7E45275BA919","BA7","7DQ",51.0927697,-2.518249087
"BA77DR",-2.524109,51.089631,480.954184801796,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","9492D7DA-4043-4647-8CBD-41C088A157FB","BA7","7DR",51.0927195,-2.519287778
"BA77DS",-2.52404,51.089961,451.925928265983,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","9492D7DA-4043-4647-8CBD-41C088A157FB","BA7","7DS",51.0927195,-2.519287778
"BA77DT",-2.528673,51.090357,706.139058612927,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","9492D7DA-4043-4647-8CBD-41C088A157FB","BA7","7DT",51.0927195,-2.519287778
"BA77DU",-2.519744,51.08891,424.794626012096,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","9492D7DA-4043-4647-8CBD-41C088A157FB","BA7","7DU",51.0927195,-2.519287778
"BA77DW",-2.522098,51.089979,362.464263967518,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","9492D7DA-4043-4647-8CBD-41C088A157FB","BA7","7DW",51.0927195,-2.519287778
"BA77DX",-2.516228,51.093728,65.3494084852942,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","B1A3E0FE-248B-4C47-A6E5-D128A6931F62","BA7","7DX",51.09325045,-2.515682577
"BA77DY",-2.521919,51.089296,422.710383807482,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","9492D7DA-4043-4647-8CBD-41C088A157FB","BA7","7DY",51.0927195,-2.519287778
"BA77DZ",-2.516245,51.090113,326.892196201901,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","05296001-224F-41B0-98A3-7E45275BA919","BA7","7DZ",51.0927697,-2.518249087
"BA77EA",-2.516055,51.088378,511.813646386541,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","05296001-224F-41B0-98A3-7E45275BA919","BA7","7EA",51.0927697,-2.518249087
"BA77EB",-2.519085,51.084885,871.272676195749,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","9492D7DA-4043-4647-8CBD-41C088A157FB","BA7","7EB",51.0927195,-2.519287778
"BA77ED",-2.515571,51.087274,639.07867746877,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","05296001-224F-41B0-98A3-7E45275BA919","BA7","7ED",51.0927697,-2.518249087
"BA77EE",-2.51716,51.087618,577.871773285082,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","05296001-224F-41B0-98A3-7E45275BA919","BA7","7EE",51.0927697,-2.518249087
"BA77EF",-2.518192,51.087955,535.28813824361,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","9492D7DA-4043-4647-8CBD-41C088A157FB","BA7","7EF",51.0927195,-2.519287778
"BA77EG",-2.514898,51.087079,674.67406940105,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","05296001-224F-41B0-98A3-7E45275BA919","BA7","7EG",51.0927697,-2.518249087
"BA77EH",-2.515352,51.086852,688.425604230582,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","05296001-224F-41B0-98A3-7E45275BA919","BA7","7EH",51.0927697,-2.518249087
"BA77EJ",-2.51716,51.086341,718.875370320131,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","05296001-224F-41B0-98A3-7E45275BA919","BA7","7EJ",51.0927697,-2.518249087
"BA77EL",-2.517113,51.085814,777.499059814796,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","05296001-224F-41B0-98A3-7E45275BA919","BA7","7EL",51.0927697,-2.518249087
"BA77EN",-2.518354,51.085886,762.645077982265,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","9492D7DA-4043-4647-8CBD-41C088A157FB","BA7","7EN",51.0927195,-2.519287778
"BA77EP",-2.516854,51.085794,781.759369919529,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","05296001-224F-41B0-98A3-7E45275BA919","BA7","7EP",51.0927697,-2.518249087
"BA77EQ",-2.515104,51.087468,629.115796867848,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","05296001-224F-41B0-98A3-7E45275BA919","BA7","7EQ",51.0927697,-2.518249087
"BA77ER",-2.519827,51.086113,735.57490632632,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","9492D7DA-4043-4647-8CBD-41C088A157FB","BA7","7ER",51.0927195,-2.519287778
"BA77ES",-2.518652,51.084482,917.044832290074,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","9492D7DA-4043-4647-8CBD-41C088A157FB","BA7","7ES",51.0927195,-2.519287778
"BA77ET",-2.519451,51.084388,926.491576636496,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","9492D7DA-4043-4647-8CBD-41C088A157FB","BA7","7ET",51.0927195,-2.519287778
"BA77EU",-2.527499,51.090341,631.514013220379,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","9492D7DA-4043-4647-8CBD-41C088A157FB","BA7","7EU",51.0927195,-2.519287778
"BA77EW",-2.518065,51.085573,799.231387198854,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","9492D7DA-4043-4647-8CBD-41C088A157FB","BA7","7EW",51.0927195,-2.519287778
"BA77EX",-2.520004,51.08283,1100.8003647744,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","9492D7DA-4043-4647-8CBD-41C088A157FB","BA7","7EX",51.0927195,-2.519287778
"BA77EY",-2.520122,51.082941,1088.88051910746,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","9492D7DA-4043-4647-8CBD-41C088A157FB","BA7","7EY",51.0927195,-2.519287778
"BA77EZ",-2.521876,51.082966,1099.50325848886,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","9492D7DA-4043-4647-8CBD-41C088A157FB","BA7","7EZ",51.0927195,-2.519287778
"BA77FB",-2.513679,51.089153,476.619551394415,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","B1A3E0FE-248B-4C47-A6E5-D128A6931F62","BA7","7FB",51.09325045,-2.515682577
"BA77FD",-2.516657,51.085879,774.238403627901,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","05296001-224F-41B0-98A3-7E45275BA919","BA7","7FD",51.0927697,-2.518249087
"BA77FE",-2.50876,51.091135,537.647930638185,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","B1A3E0FE-248B-4C47-A6E5-D128A6931F62","BA7","7FE",51.09325045,-2.515682577
"BA77FF",-2.520568,51.093451,120.869455784028,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","9492D7DA-4043-4647-8CBD-41C088A157FB","BA7","7FF",51.0927195,-2.519287778
"BA77FG",-2.517057,51.088616,469.315176850312,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","05296001-224F-41B0-98A3-7E45275BA919","BA7","7FG",51.0927697,-2.518249087
"BA77FH",-2.516661,51.088783,456.966192145476,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","05296001-224F-41B0-98A3-7E45275BA919","BA7","7FH",51.0927697,-2.518249087
"BA77FN",-2.524607,51.095744,501.090411122839,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","9492D7DA-4043-4647-8CBD-41C088A157FB","BA7","7FN",51.0927195,-2.519287778
"BA77FR",-2.517663,51.09052,253.482873714003,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","05296001-224F-41B0-98A3-7E45275BA919","BA7","7FR",51.0927697,-2.518249087
"BA77FS",-2.571963,51.091259,3682.3362660626,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","9492D7DA-4043-4647-8CBD-41C088A157FB","BA7","7FS",51.0927195,-2.519287778
"BA77FW",-2.521029,51.082556,1136.65535543741,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","9492D7DA-4043-4647-8CBD-41C088A157FB","BA7","7FW",51.0927195,-2.519287778
"BA77GB",-2.509218,51.091046,513.726370610791,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","B1A3E0FE-248B-4C47-A6E5-D128A6931F62","BA7","7GB",51.09325045,-2.515682577
"BA77HA",-2.519005,51.091755,109.051514327853,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","9492D7DA-4043-4647-8CBD-41C088A157FB","BA7","7HA",51.0927195,-2.519287778
"BA77HB",-2.511728,51.094772,323.873568957861,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","B1A3E0FE-248B-4C47-A6E5-D128A6931F62","BA7","7HB",51.09325045,-2.515682577
"BA77HD",-2.519019,51.087906,535.566764392561,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","9492D7DA-4043-4647-8CBD-41C088A157FB","BA7","7HD",51.0927195,-2.519287778
"BA77HE",-2.519457,51.082374,1150.42873720491,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","9492D7DA-4043-4647-8CBD-41C088A157FB","BA7","7HE",51.0927195,-2.519287778
"BA77HF",-2.519789,51.081437,1255.04602179072,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","9492D7DA-4043-4647-8CBD-41C088A157FB","BA7","7HF",51.0927195,-2.519287778
"BA77HG",-2.512857,51.091063,313.214044162541,19486.4924999994,"81B33302-11AD-33F1-E053-A03BA40A2BEA","B1A3E0FE-248B-4C47-A6E5-D128A6931F62","BA7","7HG",51.09325045,-2.515682577
