"X","postcode","lsoa","id_greenspace","greenspace_description","nearest_greenspace_area_m2","nearest_greenspace_distance_m","greenspace_count_1000_m_radius","greenspace_area_sum_1000_m_radius","lsoa_population_per_pcd","distance_category","lsoa_mean_nearest_greenspace_distance_m","lsoa_mean_nearest_greenspace_area_m2","lsoa_mean_greenspace_count_1000_m_radius","lsoa_mean_greenspace_area_sum_1000_m_radius","popbypark","pcds","pcd_start","pcd_end","pcd_nospace"
4252,"RH12NW","E01030611","9E891092-EADA-2C71-E053-A03BA40A7146","Public Park Or Garden",247673.041100011,326.71854,5,380795,52.7258064516129,"300-600m",271.048773870968,67935.3953685488,5.08064516129032,199283.548387097,1455.47228195938,"RH1 2NW","RH1","2NW","RH12NW"
4253,"RH13QQ","E01030600","9E891092-EADA-2C71-E053-A03BA40A7146","Public Park Or Garden",247673.041100011,657.5143,3,358440,64.88,"600-900m",336.1949182,101328.525363997,4,369229.32,1455.47228195938,"RH1 3QQ","RH1","3QQ","RH13QQ"
4254,"RH16JE","E01030574","9E89103E-40AC-2C71-E053-A03BA40A7146","Public Park Or Garden",251909.857749993,213.49005,7,364061,47.325,"Less than or equal to 300m",153.122079625,97145.6413712434,8.45,378968.7,3631.10034562212,"RH1 6JE","RH1","6JE","RH16JE"
9687,"RH11AP","E01030612","9E891092-EAC1-2C71-E053-A03BA40A7146","Public Park Or Garden",30985.305250001,114.62112,5,70336,42.9264705882353,"Less than or equal to 300m",177.043151079365,26058.6109499992,4.96825396825397,143911.063492063,4347.40812542025,"RH1 1AP","RH1","1AP","RH11AP"
9688,"RH11HJ","E01030615","9E8910C3-2C96-2C71-E053-A03BA40A7146","Playing Field",2444.0023999996,156.16978,6,379398,31.5873015873016,"Less than or equal to 300m",223.904521920635,6521.33137857123,7.6984126984127,382409.666666667,3210.72490482869,"RH1 1HJ","RH1","1HJ","RH11HJ"
9689,"RH11JD","E01030619","9E891092-EAC1-2C71-E053-A03BA40A7146","Public Park Or Garden",30985.305250001,189.38057,6,72058,46.1818181818182,"Less than or equal to 300m",218.732827484848,6220.39019697042,5.81818181818182,135591.333333333,4347.40812542025,"RH1 1JD","RH1","1JD","RH11JD"
9690,"RH11TF","E01030612","9E891045-B565-2C71-E053-A03BA40A7146","Public Park Or Garden",13741.8751999944,27.856777,5,315565,42.9264705882353,"Less than or equal to 300m",177.043151079365,26058.6109499992,4.96825396825397,143911.063492063,1299.93453510436,"RH1 1TF","RH1","1TF","RH11TF"
9691,"RH13NE","E01030599","9E8910C3-31F7-2C71-E053-A03BA40A7146","Public Park Or Garden",39785.9683500017,75.43209,4,137502,48.8125,"Less than or equal to 300m",200.0943338125,48559.7125968736,4.5625,312685.40625,3120.08931818182,"RH1 3NE","RH1","3NE","RH13NE"
9692,"RH16AG","E01030622","9E8910C3-2C96-2C71-E053-A03BA40A7146","Playing Field",2444.0023999996,317.23807,7,381119,40.0408163265306,"300-600m",219.353242122449,74490.2098989769,6.04081632653061,365809.020408163,3210.72490482869,"RH1 6AG","RH1","6AG","RH16AG"
9693,"RH16EQ","E01030573","9E891061-8068-2C71-E053-A03BA40A7146","Playing Field",5492.40074999988,95.26804,7,364061,49.6486486486487,"Less than or equal to 300m",180.420994243243,6766.44770675809,5.67567567567567,274732.837837838,1890.26222755013,"RH1 6EQ","RH1","6EQ","RH16EQ"
9694,"RH16HS","E01030574","9E89103E-70E1-2C71-E053-A03BA40A7146","Public Park Or Garden",52363.9723499915,204.20088,9,390644,47.325,"Less than or equal to 300m",153.122079625,97145.6413712434,8.45,378968.7,990.026315789474,"RH1 6HS","RH1","6HS","RH16HS"
14336,"RH11AL","E01030612","9E891045-B565-2C71-E053-A03BA40A7146","Public Park Or Garden",13741.8751999944,66.6033,4,67892,42.9264705882353,"Less than or equal to 300m",177.043151079365,26058.6109499992,4.96825396825397,143911.063492063,1299.93453510436,"RH1 1AL","RH1","1AL","RH11AL"
18373,"RH11JZ","E01030612","9E891092-EAC1-2C71-E053-A03BA40A7146","Public Park Or Garden",30985.305250001,75.32596,5,70336,42.9264705882353,"Less than or equal to 300m",177.043151079365,26058.6109499992,4.96825396825397,143911.063492063,4347.40812542025,"RH1 1JZ","RH1","1JZ","RH11JZ"
21810,"RH14JP","E01030814","9E891061-8115-2C71-E053-A03BA40A7146","Playing Field",25576.4426500007,125.781555,2,42332,34.6,"Less than or equal to 300m",525.670005,18463.0566419327,1.74193548387097,36016.0322580645,1118.22640389122,"RH1 4JP","RH1","4JP","RH14JP"
21811,"RH16HQ","E01030574","9E891061-7CDF-2C71-E053-A03BA40A7146","Playing Field",24722.4190500088,262.43475,9,390644,47.325,"Less than or equal to 300m",153.122079625,97145.6413712434,8.45,378968.7,89.1027777777778,"RH1 6HQ","RH1","6HQ","RH16HQ"
24777,"RH14DP","E01030614","9E891061-8068-2C71-E053-A03BA40A7146","Playing Field",5492.40074999988,461.4694,7,356638,56.2258064516129,"300-600m",529.238631290323,12765.838396774,5.90322580645161,296007.548387097,1890.26222755013,"RH1 4DP","RH1","4DP","RH14DP"
31684,"RH16LG","E01030595","9E89103D-FCB7-2C71-E053-A03BA40A7146","Public Park Or Garden",11265.8772999978,45.65085,6,321234,49.3225806451613,"Less than or equal to 300m",292.470045322581,49330.7240306427,6.19354838709677,376223.806451613,2543.96270353303,"RH1 6LG","RH1","6LG","RH16LG"
33381,"RH13LY","E01030610","9E8910C3-33A5-2C71-E053-A03BA40A7146","Public Park Or Garden",8613.21174999813,340.9692,4,367053,48.8275862068966,"300-600m",441.520978965517,12369.9054879307,5.20689655172414,222973.206896552,1378.04618599791,"RH1 3LY","RH1","3LY","RH13LY"
34904,"RH15QX","E01030817","9E891061-8DC7-2C71-E053-A03BA40A7146","Playing Field",8970.70349999902,603.75494,1,8970,40.1388888888889,"600-900m",683.893559032258,11602.0919596751,1.12903225806452,14254.6129032258,561.944444444445,"RH1 5QX","RH1","5QX","RH15QX"
36224,"RH13LE","E01030610","9E8910C3-33A5-2C71-E053-A03BA40A7146","Public Park Or Garden",8613.21174999813,444.16214,7,403961,48.8275862068966,"300-600m",441.520978965517,12369.9054879307,5.20689655172414,222973.206896552,1378.04618599791,"RH1 3LE","RH1","3LE","RH13LE"
36225,"RH15NQ","E01030814","9E891061-8115-2C71-E053-A03BA40A7146","Playing Field",25576.4426500007,399.76492,2,42332,34.6,"300-600m",525.670005,18463.0566419327,1.74193548387097,36016.0322580645,1118.22640389122,"RH1 5NQ","RH1","5NQ","RH15NQ"
44321,"RH14JJ","E01030814","9E891061-8115-2C71-E053-A03BA40A7146","Playing Field",25576.4426500007,151.16217,2,42332,34.6,"Less than or equal to 300m",525.670005,18463.0566419327,1.74193548387097,36016.0322580645,1118.22640389122,"RH1 4JJ","RH1","4JJ","RH14JJ"
46119,"RH13AL","E01030569","9E89103E-4278-2C71-E053-A03BA40A7146","Public Park Or Garden",5806.7238499972,900.8884,1,5806,52.4727272727273,"900-1800m",546.895342978724,16115.3832542596,2.72340425531915,238589.085106383,682.145454545455,"RH1 3AL","RH1","3AL","RH13AL"
50493,"RH13PP","E01030600","9E8910C3-3499-2C71-E053-A03BA40A7146","Playing Field",70981.5034499909,366.49283,4,367053,64.88,"300-600m",336.1949182,101328.525363997,4,369229.32,2824.09978793309,"RH1 3PP","RH1","3PP","RH13PP"
50494,"RH15AF","E01030570","9E891061-7E6A-2C71-E053-A03BA40A7146","Playing Field",17895.9531000017,250.15395,5,124909,43.5263157894737,"Less than or equal to 300m",295.574435578947,16862.8781328954,4.23684210526316,88579.1842105263,1367.8007518797,"RH1 5AF","RH1","5AF","RH15AF"
50495,"RH16ER","E01030574","9E89103E-40AC-2C71-E053-A03BA40A7146","Public Park Or Garden",251909.857749993,176.67201,8,366505,47.325,"Less than or equal to 300m",153.122079625,97145.6413712434,8.45,378968.7,3631.10034562212,"RH1 6ER","RH1","6ER","RH16ER"
50496,"RH16NZ","E01030613","9E89103E-40AC-2C71-E053-A03BA40A7146","Public Park Or Garden",251909.857749993,114.52947,8,359130,43.0408163265306,"Less than or equal to 300m",270.975655306122,111171.183952037,7.42857142857143,345944.469387755,3631.10034562212,"RH1 6NZ","RH1","6NZ","RH16NZ"
50497,"RH16RD","E01030613","9E89103E-40AC-2C71-E053-A03BA40A7146","Public Park Or Garden",251909.857749993,336.36288,8,365393,43.0408163265306,"300-600m",270.975655306122,111171.183952037,7.42857142857143,345944.469387755,3631.10034562212,"RH1 6RD","RH1","6RD","RH16RD"
55891,"RH16HY","E01030574","9E89103E-70E1-2C71-E053-A03BA40A7146","Public Park Or Garden",52363.9723499915,161.04968,8,381957,47.325,"Less than or equal to 300m",153.122079625,97145.6413712434,8.45,378968.7,990.026315789474,"RH1 6HY","RH1","6HY","RH16HY"
55892,"RH16LZ","E01030595","9E89103E-40AC-2C71-E053-A03BA40A7146","Public Park Or Garden",251909.857749993,437.992,6,313451,49.3225806451613,"300-600m",292.470045322581,49330.7240306427,6.19354838709677,376223.806451613,3631.10034562212,"RH1 6LZ","RH1","6LZ","RH16LZ"
55893,"RH16NH","E01030595","9E89103D-FCB7-2C71-E053-A03BA40A7146","Public Park Or Garden",11265.8772999978,229.86952,6,321234,49.3225806451613,"Less than or equal to 300m",292.470045322581,49330.7240306427,6.19354838709677,376223.806451613,2543.96270353303,"RH1 6NH","RH1","6NH","RH16NH"
60355,"RH11JY","E01030612","9E891092-EAC1-2C71-E053-A03BA40A7146","Public Park Or Garden",30985.305250001,57.706154,5,70336,42.9264705882353,"Less than or equal to 300m",177.043151079365,26058.6109499992,4.96825396825397,143911.063492063,4347.40812542025,"RH1 1JY","RH1","1JY","RH11JY"
60356,"RH13ET","E01030598","9E8910C3-0CEC-2C71-E053-A03BA40A7146","Playing Field",18121.4150000004,47.507893,4,137502,29.9636363636364,"Less than or equal to 300m",413.858831109091,45862.3485227285,3.25454545454545,150377.272727273,779.054545454546,"RH1 3ET","RH1","3ET","RH13ET"
60357,"RH16RU","E01030573","9E89103D-0E46-2C71-E053-A03BA40A7146","Public Park Or Garden",8111.27505000287,218.2888,5,323209,49.6486486486487,"Less than or equal to 300m",180.420994243243,6766.44770675809,5.67567567567567,274732.837837838,949.901482127289,"RH1 6RU","RH1","6RU","RH16RU"
64415,"RH12AT","E01030619","9E89103E-6D36-2C71-E053-A03BA40A7146","Playing Field",1721.26630000106,143.89232,6,146306,46.1818181818182,"Less than or equal to 300m",218.732827484848,6220.39019697042,5.81818181818182,135591.333333333,1842.57933370977,"RH1 2AT","RH1","2AT","RH12AT"
64416,"RH12BF","E01030619","9E89103E-6D36-2C71-E053-A03BA40A7146","Playing Field",1721.26630000106,258.45114,6,146306,46.1818181818182,"Less than or equal to 300m",218.732827484848,6220.39019697042,5.81818181818182,135591.333333333,1842.57933370977,"RH1 2BF","RH1","2BF","RH12BF"
64417,"RH13NB","E01030599","9E8910C3-31F7-2C71-E053-A03BA40A7146","Public Park Or Garden",39785.9683500017,19.313208,4,137502,48.8125,"Less than or equal to 300m",200.0943338125,48559.7125968736,4.5625,312685.40625,3120.08931818182,"RH1 3NB","RH1","3NB","RH13NB"
64418,"RH15JA","E01030570","9E891061-7E6A-2C71-E053-A03BA40A7146","Playing Field",17895.9531000017,234.15593,5,124909,43.5263157894737,"Less than or equal to 300m",295.574435578947,16862.8781328954,4.23684210526316,88579.1842105263,1367.8007518797,"RH1 5JA","RH1","5JA","RH15JA"
64419,"RH16LP","E01030595","9E8911BD-C1CD-2C71-E053-A03BA40A7146","Public Park Or Garden",8687.02689999942,97.015465,6,321234,49.3225806451613,"Less than or equal to 300m",292.470045322581,49330.7240306427,6.19354838709677,376223.806451613,485.681003584229,"RH1 6LP","RH1","6LP","RH16LP"
70726,"RH12JD","E01030610","9E8911BB-C964-2C71-E053-A03BA40A7146","Playing Field",19934.4149500021,649.0377,5,116502,48.8275862068966,"600-900m",441.520978965517,12369.9054879307,5.20689655172414,222973.206896552,2949.21381621715,"RH1 2JD","RH1","2JD","RH12JD"
70727,"RH12JJ","E01030611","9E8911BB-C964-2C71-E053-A03BA40A7146","Playing Field",19934.4149500021,171.0263,5,69614,52.7258064516129,"Less than or equal to 300m",271.048773870968,67935.3953685488,5.08064516129032,199283.548387097,2949.21381621715,"RH1 2JJ","RH1","2JJ","RH12JJ"
70728,"RH13LG","E01030598","9E8910C3-33A5-2C71-E053-A03BA40A7146","Public Park Or Garden",8613.21174999813,280.95908,5,385175,29.9636363636364,"Less than or equal to 300m",413.858831109091,45862.3485227285,3.25454545454545,150377.272727273,1378.04618599791,"RH1 3LG","RH1","3LG","RH13LG"
70729,"RH16PX","E01030593","9E89103E-40AC-2C71-E053-A03BA40A7146","Public Park Or Garden",251909.857749993,85.08819,9,373484,41.7777777777778,"Less than or equal to 300m",109.602836111111,134051.60821805,8.02777777777778,367447.333333333,3631.10034562212,"RH1 6PX","RH1","6PX","RH16PX"
73317,"RH12AL","E01030619","9E89103E-6D36-2C71-E053-A03BA40A7146","Playing Field",1721.26630000106,293.55237,6,146306,46.1818181818182,"Less than or equal to 300m",218.732827484848,6220.39019697042,5.81818181818182,135591.333333333,1842.57933370977,"RH1 2AL","RH1","2AL","RH12AL"
73318,"RH15SG","E01030572","9E89103D-8469-2C71-E053-A03BA40A7146","Playing Field",18817.2165500011,45.254833,3,47823,42.9387755102041,"Less than or equal to 300m",134.61768725,18817.2165500011,3.03125,60198.25,2032.78141783029,"RH1 5SG","RH1","5SG","RH15SG"
75509,"RH12QF","E01030611","9E891037-B92B-2C71-E053-A03BA40A7146","Public Park Or Garden",3231.14774999741,53.160137,5,69614,52.7258064516129,"Less than or equal to 300m",271.048773870968,67935.3953685488,5.08064516129032,199283.548387097,1957.91359085853,"RH1 2QF","RH1","2QF","RH12QF"
77509,"RH11DE","E01030617","9E8910C3-2C96-2C71-E053-A03BA40A7146","Playing Field",2444.0023999996,242.59637,9,412695,28.4285714285714,"Less than or equal to 300m",253.299731968254,22607.0869380962,7.84126984126984,328575.126984127,3210.72490482869,"RH1 1DE","RH1","1DE","RH11DE"
77510,"RH13EJ","E01030599","9E8910C3-31F7-2C71-E053-A03BA40A7146","Public Park Or Garden",39785.9683500017,32.24903,4,137502,48.8125,"Less than or equal to 300m",200.0943338125,48559.7125968736,4.5625,312685.40625,3120.08931818182,"RH1 3EJ","RH1","3EJ","RH13EJ"
77511,"RH13NZ","E01030601","9E8910C3-31F7-2C71-E053-A03BA40A7146","Public Park Or Garden",39785.9683500017,702.20013,3,358440,81.9,"600-900m",505.510236,47584.852124999,3,235050.3,3120.08931818182,"RH1 3NZ","RH1","3NZ","RH13NZ"
77512,"RH13PR","E01030600","9E8910C3-3499-2C71-E053-A03BA40A7146","Playing Field",70981.5034499909,458.3634,4,367053,64.88,"300-600m",336.1949182,101328.525363997,4,369229.32,2824.09978793309,"RH1 3PR","RH1","3PR","RH13PR"
77513,"RH15NG","E01030814","9E891061-8115-2C71-E053-A03BA40A7146","Playing Field",25576.4426500007,434.60788,2,42332,34.6,"300-600m",525.670005,18463.0566419327,1.74193548387097,36016.0322580645,1118.22640389122,"RH1 5NG","RH1","5NG","RH15NG"
79307,"RH14BH","E01030612","9E891092-EAC1-2C71-E053-A03BA40A7146","Public Park Or Garden",30985.305250001,335.91965,4,50402,42.9264705882353,"300-600m",177.043151079365,26058.6109499992,4.96825396825397,143911.063492063,4347.40812542025,"RH1 4BH","RH1","4BH","RH14BH"
80791,"RH12PD","E01030611","9E891092-EADA-2C71-E053-A03BA40A7146","Public Park Or Garden",247673.041100011,441.02835,5,344240,52.7258064516129,"300-600m",271.048773870968,67935.3953685488,5.08064516129032,199283.548387097,1455.47228195938,"RH1 2PD","RH1","2PD","RH12PD"
89648,"RH15QB","E01030817","9E891061-8DC7-2C71-E053-A03BA40A7146","Playing Field",8970.70349999902,867.41223,1,8970,40.1388888888889,"600-900m",683.893559032258,11602.0919596751,1.12903225806452,14254.6129032258,561.944444444445,"RH1 5QB","RH1","5QB","RH15QB"
90058,"RH15EG","E01030628","9E891084-FC29-2C71-E053-A03BA40A7146","Playing Field",23434.0360500066,856.4911,1,23434,35.0476190476191,"600-900m",1143.34182058824,16977.7367632359,1,16977.2058823529,1684.4154906497,"RH1 5EG","RH1","5EG","RH15EG"
96747,"RH11JQ","E01030612","9E891092-EAC1-2C71-E053-A03BA40A7146","Public Park Or Garden",30985.305250001,37.202152,6,72058,42.9264705882353,"Less than or equal to 300m",177.043151079365,26058.6109499992,4.96825396825397,143911.063492063,4347.40812542025,"RH1 1JQ","RH1","1JQ","RH11JQ"
96748,"RH11PD","E01030612","9E891092-EAC1-2C71-E053-A03BA40A7146","Public Park Or Garden",30985.305250001,249.2268,6,307644,42.9264705882353,"Less than or equal to 300m",177.043151079365,26058.6109499992,4.96825396825397,143911.063492063,4347.40812542025,"RH1 1PD","RH1","1PD","RH11PD"
96749,"RH15AQ","E01030571","9E891061-7E6A-2C71-E053-A03BA40A7146","Playing Field",17895.9531000017,275.13815,5,124909,55.9285714285714,"Less than or equal to 300m",371.071161428571,15349.5871910717,2.89285714285714,50781.7142857143,1367.8007518797,"RH1 5AQ","RH1","5AQ","RH15AQ"
96750,"RH16DF","E01030613","9E8910C3-2C96-2C71-E053-A03BA40A7146","Playing Field",2444.0023999996,148.40822,6,379398,43.0408163265306,"Less than or equal to 300m",270.975655306122,111171.183952037,7.42857142857143,345944.469387755,3210.72490482869,"RH1 6DF","RH1","6DF","RH16DF"
96751,"RH16HA","E01030574","9E89103E-40AC-2C71-E053-A03BA40A7146","Public Park Or Garden",251909.857749993,147.085,9,367241,47.325,"Less than or equal to 300m",153.122079625,97145.6413712434,8.45,378968.7,3631.10034562212,"RH1 6HA","RH1","6HA","RH16HA"
102251,"RH14BE","E01030614","9E891092-EAC1-2C71-E053-A03BA40A7146","Public Park Or Garden",30985.305250001,703.40955,7,318016,56.2258064516129,"600-900m",529.238631290323,12765.838396774,5.90322580645161,296007.548387097,4347.40812542025,"RH1 4BE","RH1","4BE","RH14BE"
102252,"RH15AJ","E01030571","9E891061-7E6A-2C71-E053-A03BA40A7146","Playing Field",17895.9531000017,302.52438,3,47823,55.9285714285714,"300-600m",371.071161428571,15349.5871910717,2.89285714285714,50781.7142857143,1367.8007518797,"RH1 5AJ","RH1","5AJ","RH15AJ"
102253,"RH15DW","E01030629","9E8911BC-7B1D-2C71-E053-A03BA40A7146","Playing Field",11109.9411499989,858.39966,1,11109,28.6190476190476,"600-900m",1001.00895095238,11109.9411499989,1,11109,2171.5037593985,"RH1 5DW","RH1","5DW","RH15DW"
107071,"RH15DN","E01030629","9E8911BC-7B1D-2C71-E053-A03BA40A7146","Playing Field",11109.9411499989,786.489,1,11109,28.6190476190476,"600-900m",1001.00895095238,11109.9411499989,1,11109,2171.5037593985,"RH1 5DN","RH1","5DN","RH15DN"
110980,"RH12JR","E01030612","9E891045-B565-2C71-E053-A03BA40A7146","Public Park Or Garden",13741.8751999944,66.4003,4,67892,42.9264705882353,"Less than or equal to 300m",177.043151079365,26058.6109499992,4.96825396825397,143911.063492063,1299.93453510436,"RH1 2JR","RH1","2JR","RH12JR"
110981,"RH16LY","E01030595","9E8911BD-C1CD-2C71-E053-A03BA40A7146","Public Park Or Garden",8687.02689999942,347.93246,7,321971,49.3225806451613,"300-600m",292.470045322581,49330.7240306427,6.19354838709677,376223.806451613,485.681003584229,"RH1 6LY","RH1","6LY","RH16LY"
114450,"RH12EF","E01030618","9E8911BB-C964-2C71-E053-A03BA40A7146","Playing Field",19934.4149500021,249.07027,4,55872,65.6129032258065,"Less than or equal to 300m",156.015623967742,19934.4149500021,4.38709677419355,64681.1612903226,2949.21381621715,"RH1 2EF","RH1","2EF","RH12EF"
114451,"RH15BG","E01030571","9E8911BC-7B1D-2C71-E053-A03BA40A7146","Playing Field",11109.9411499989,521.84674,2,29927,55.9285714285714,"300-600m",371.071161428571,15349.5871910717,2.89285714285714,50781.7142857143,2171.5037593985,"RH1 5BG","RH1","5BG","RH15BG"
117406,"RH11PZ","E01030612","9E891092-EAC1-2C71-E053-A03BA40A7146","Public Park Or Garden",30985.305250001,243.75807,6,307644,42.9264705882353,"Less than or equal to 300m",177.043151079365,26058.6109499992,4.96825396825397,143911.063492063,4347.40812542025,"RH1 1PZ","RH1","1PZ","RH11PZ"
117407,"RH16DZ","E01030573","9E891061-8068-2C71-E053-A03BA40A7146","Playing Field",5492.40074999988,155.33191,7,364061,49.6486486486487,"Less than or equal to 300m",180.420994243243,6766.44770675809,5.67567567567567,274732.837837838,1890.26222755013,"RH1 6DZ","RH1","6DZ","RH16DZ"
120066,"RH11DS","E01030616","9E89103E-40AB-2C71-E053-A03BA40A7146","Public Park Or Garden",87990.5459499993,336.5546,6,375787,37.3478260869565,"300-600m",239.846955456522,50623.5683826085,5.08695652173913,263754.065217391,4692.79380129044,"RH1 1DS","RH1","1DS","RH11DS"
120067,"RH16AH","E01030622","9E89103E-40AC-2C71-E053-A03BA40A7146","Public Park Or Garden",251909.857749993,213.43149,7,381119,40.0408163265306,"Less than or equal to 300m",219.353242122449,74490.2098989769,6.04081632653061,365809.020408163,3631.10034562212,"RH1 6AH","RH1","6AH","RH16AH"
124162,"RH13BT","E01030602","9E8910C3-3499-2C71-E053-A03BA40A7146","Playing Field",70981.5034499909,170.98538,4,367053,68.037037037037,"Less than or equal to 300m",171.046655,82912.7280037006,4.77777777777778,378003.222222222,2824.09978793309,"RH1 3BT","RH1","3BT","RH13BT"
124163,"RH14BU","E01030614","9E891061-8068-2C71-E053-A03BA40A7146","Playing Field",5492.40074999988,597.7775,7,356638,56.2258064516129,"300-600m",529.238631290323,12765.838396774,5.90322580645161,296007.548387097,1890.26222755013,"RH1 4BU","RH1","4BU","RH14BU"
125878,"RH11LE","E01030612","9E891092-EAC1-2C71-E053-A03BA40A7146","Public Park Or Garden",30985.305250001,130.04999,5,70336,42.9264705882353,"Less than or equal to 300m",177.043151079365,26058.6109499992,4.96825396825397,143911.063492063,4347.40812542025,"RH1 1LE","RH1","1LE","RH11LE"
127413,"RH13BA","E01030598","9E8910C3-0CEC-2C71-E053-A03BA40A7146","Playing Field",18121.4150000004,123.90723,4,137502,29.9636363636364,"Less than or equal to 300m",413.858831109091,45862.3485227285,3.25454545454545,150377.272727273,779.054545454546,"RH1 3BA","RH1","3BA","RH13BA"
130993,"RH13DN","E01030600","9E891092-EADA-2C71-E053-A03BA40A7146","Public Park Or Garden",247673.041100011,568.33966,3,358440,64.88,"300-600m",336.1949182,101328.525363997,4,369229.32,1455.47228195938,"RH1 3DN","RH1","3DN","RH13DN"
131971,"RH12HX","E01030611","9E891037-B92B-2C71-E053-A03BA40A7146","Public Park Or Garden",3231.14774999741,194.80502,4,67892,52.7258064516129,"Less than or equal to 300m",271.048773870968,67935.3953685488,5.08064516129032,199283.548387097,1957.91359085853,"RH1 2HX","RH1","2HX","RH12HX"
143224,"RH11AF","E01030612","9E891045-B565-2C71-E053-A03BA40A7146","Public Park Or Garden",13741.8751999944,31.016125,4,67892,42.9264705882353,"Less than or equal to 300m",177.043151079365,26058.6109499992,4.96825396825397,143911.063492063,1299.93453510436,"RH1 1AF","RH1","1AF","RH11AF"
143225,"RH11BZ","E01030617","9E891092-EAC1-2C71-E053-A03BA40A7146","Public Park Or Garden",30985.305250001,296.73557,9,412695,28.4285714285714,"Less than or equal to 300m",253.299731968254,22607.0869380962,7.84126984126984,328575.126984127,4347.40812542025,"RH1 1BZ","RH1","1BZ","RH11BZ"
143226,"RH11DP","E01030616","9E89103E-40AB-2C71-E053-A03BA40A7146","Public Park Or Garden",87990.5459499993,404.03094,6,375787,37.3478260869565,"300-600m",239.846955456522,50623.5683826085,5.08695652173913,263754.065217391,4692.79380129044,"RH1 1DP","RH1","1DP","RH11DP"
143227,"RH11TL","E01030611","9E891045-B565-2C71-E053-A03BA40A7146","Public Park Or Garden",13741.8751999944,174.1551,4,67892,52.7258064516129,"Less than or equal to 300m",271.048773870968,67935.3953685488,5.08064516129032,199283.548387097,1299.93453510436,"RH1 1TL","RH1","1TL","RH11TL"
143228,"RH13AP","E01030598","9E8910C3-31F7-2C71-E053-A03BA40A7146","Public Park Or Garden",39785.9683500017,222.42752,4,137502,29.9636363636364,"Less than or equal to 300m",413.858831109091,45862.3485227285,3.25454545454545,150377.272727273,3120.08931818182,"RH1 3AP","RH1","3AP","RH13AP"
148670,"RH11BB","E01030616","9E8910C3-2C96-2C71-E053-A03BA40A7146","Playing Field",2444.0023999996,381.13644,7,381119,37.3478260869565,"300-600m",239.846955456522,50623.5683826085,5.08695652173913,263754.065217391,3210.72490482869,"RH1 1BB","RH1","1BB","RH11BB"
148671,"RH12EP","E01030618","9E8911BB-C964-2C71-E053-A03BA40A7146","Playing Field",19934.4149500021,103.31021,5,69614,65.6129032258065,"Less than or equal to 300m",156.015623967742,19934.4149500021,4.38709677419355,64681.1612903226,2949.21381621715,"RH1 2EP","RH1","2EP","RH12EP"
148672,"RH13PG","E01030599","9E8910C3-31F7-2C71-E053-A03BA40A7146","Public Park Or Garden",39785.9683500017,123.065025,4,137502,48.8125,"Less than or equal to 300m",200.0943338125,48559.7125968736,4.5625,312685.40625,3120.08931818182,"RH1 3PG","RH1","3PG","RH13PG"
153259,"RH13BE","E01030598","9E8910C3-0CEC-2C71-E053-A03BA40A7146","Playing Field",18121.4150000004,141.01419,4,137502,29.9636363636364,"Less than or equal to 300m",413.858831109091,45862.3485227285,3.25454545454545,150377.272727273,779.054545454546,"RH1 3BE","RH1","3BE","RH13BE"
153260,"RH13EP","E01030602","9E8910C3-33A5-2C71-E053-A03BA40A7146","Public Park Or Garden",8613.21174999813,97.94386,5,385175,68.037037037037,"Less than or equal to 300m",171.046655,82912.7280037006,4.77777777777778,378003.222222222,1378.04618599791,"RH1 3EP","RH1","3EP","RH13EP"
153261,"RH13JL","E01030601","9E8910C3-3499-2C71-E053-A03BA40A7146","Playing Field",70981.5034499909,537.643,3,358440,81.9,"300-600m",505.510236,47584.852124999,3,235050.3,2824.09978793309,"RH1 3JL","RH1","3JL","RH13JL"
153262,"RH15HF","E01030570","9E891061-7E6A-2C71-E053-A03BA40A7146","Playing Field",17895.9531000017,339.5556,4,72545,43.5263157894737,"300-600m",295.574435578947,16862.8781328954,4.23684210526316,88579.1842105263,1367.8007518797,"RH1 5HF","RH1","5HF","RH15HF"
157231,"RH11DG","E01030617","9E8910C3-2C96-2C71-E053-A03BA40A7146","Playing Field",2444.0023999996,258.94016,9,412695,28.4285714285714,"Less than or equal to 300m",253.299731968254,22607.0869380962,7.84126984126984,328575.126984127,3210.72490482869,"RH1 1DG","RH1","1DG","RH11DG"
157232,"RH13DT","E01030598","9E8910C3-0CEC-2C71-E053-A03BA40A7146","Playing Field",18121.4150000004,285.28058,4,137502,29.9636363636364,"Less than or equal to 300m",413.858831109091,45862.3485227285,3.25454545454545,150377.272727273,779.054545454546,"RH1 3DT","RH1","3DT","RH13DT"
163611,"RH15BJ","E01030571","9E8911BC-7B1D-2C71-E053-A03BA40A7146","Playing Field",11109.9411499989,381.58746,2,29927,55.9285714285714,"300-600m",371.071161428571,15349.5871910717,2.89285714285714,50781.7142857143,2171.5037593985,"RH1 5BJ","RH1","5BJ","RH15BJ"
170450,"RH13JG","E01030599","9E8910C3-3499-2C71-E053-A03BA40A7146","Playing Field",70981.5034499909,320.97507,5,385175,48.8125,"300-600m",200.0943338125,48559.7125968736,4.5625,312685.40625,2824.09978793309,"RH1 3JG","RH1","3JG","RH13JG"
170451,"RH13PJ","E01030599","9E8910C3-31F7-2C71-E053-A03BA40A7146","Public Park Or Garden",39785.9683500017,26.305893,5,385175,48.8125,"Less than or equal to 300m",200.0943338125,48559.7125968736,4.5625,312685.40625,3120.08931818182,"RH1 3PJ","RH1","3PJ","RH13PJ"
