"pcd","long","lat","dist_to_nearest_public_park_or_garden","area_of_nearest_public_park_or_garden","site_id","accesspoint_id","pcd_start","pcd_end","accesslon","accesslat"
"WC1N1AA",-0.125276,51.52457,175.5987,9914.773,"81B33371-CAC3-33F1-E053-A03BA40A2BEA","0F563B60-11CE-4BE1-AE2E-23A1623E15FD","WC1N","1AA",51.52476,-0.1227563
"WC1N1AB",-0.12517,51.52539,147.9569,5474.299,"81B3337A-1526-33F1-E053-A03BA40A2BEA","2A433C63-7C8B-4C65-B794-0355ECE1B1E7","WC1N","1AB",51.52633,-0.1266818
"WC1N1AD",-0.124699,51.52282,86.53537,24816.73,"81B33371-CAD8-33F1-E053-A03BA40A2BEA","1B86E5DF-BD8A-486F-818E-4D61DB901B95","WC1N","1AD",51.52256,-0.1258811
"WC1N1AE",-0.123922,51.52418,99.62187,9914.773,"81B33371-CAC3-33F1-E053-A03BA40A2BEA","A2573C48-A688-43A6-AA2F-E2E5510BF96B","WC1N","1AE",51.52434,-0.1225049
"WC1N1AF",-0.123529,51.52427,71.229,9914.773,"81B33371-CAC3-33F1-E053-A03BA40A2BEA","A2573C48-A688-43A6-AA2F-E2E5510BF96B","WC1N","1AF",51.52434,-0.1225049
"WC1N1AG",-0.125519,51.52602,87.35159,5474.299,"81B3337A-1526-33F1-E053-A03BA40A2BEA","2A433C63-7C8B-4C65-B794-0355ECE1B1E7","WC1N","1AG",51.52633,-0.1266818
"WC1N1AH",-0.124662,51.52372,153.4039,24816.73,"81B33371-CAD8-33F1-E053-A03BA40A2BEA","1B86E5DF-BD8A-486F-818E-4D61DB901B95","WC1N","1AH",51.52256,-0.1258811
"WC1N1AJ",-0.126029,51.52554,98.98844,5474.299,"81B3337A-1526-33F1-E053-A03BA40A2BEA","2A433C63-7C8B-4C65-B794-0355ECE1B1E7","WC1N","1AJ",51.52633,-0.1266818
"WC1N1AL",-0.125844,51.52584,79.48634,5474.299,"81B3337A-1526-33F1-E053-A03BA40A2BEA","2A433C63-7C8B-4C65-B794-0355ECE1B1E7","WC1N","1AL",51.52633,-0.1266818
"WC1N1AN",-0.124095,51.52383,123.4797,9914.773,"81B33371-CAC3-33F1-E053-A03BA40A2BEA","E0A21C7C-5AB1-4713-9211-E4E8A557AF42","WC1N","1AN",51.52427,-0.1224528
"WC1N1AP",-0.125402,51.52499,172.67,5474.299,"81B3337A-1526-33F1-E053-A03BA40A2BEA","2A433C63-7C8B-4C65-B794-0355ECE1B1E7","WC1N","1AP",51.52633,-0.1266818
"WC1N1AQ",-0.123493,51.52481,51.28034,9914.773,"81B33371-CAC3-33F1-E053-A03BA40A2BEA","0F563B60-11CE-4BE1-AE2E-23A1623E15FD","WC1N","1AQ",51.52476,-0.1227563
"WC1N1AR",-0.121781,51.52367,61.84436,9914.773,"81B33371-CAC3-33F1-E053-A03BA40A2BEA","81F957E4-E2B6-4CFB-8CCC-E46E3A240950","WC1N","1AR",51.52407,-0.1211684
"WC1N1AS",-0.121671,51.52355,67.76211,9914.773,"81B33371-CAC3-33F1-E053-A03BA40A2BEA","81F957E4-E2B6-4CFB-8CCC-E46E3A240950","WC1N","1AS",51.52407,-0.1211684
"WC1N1AT",-0.121744,51.52457,37.96741,9914.773,"81B33371-CAC3-33F1-E053-A03BA40A2BEA","659BB6D8-0377-4F2E-8A88-71A33EC6B6D0","WC1N","1AT",51.52488,-0.121951
"WC1N1AU",-0.120784,51.52548,96.95313,9751.958,"81B33371-CACB-33F1-E053-A03BA40A2BEA","CF827754-82A1-4401-AF2F-74069749E903","WC1N","1AU",51.52553,-0.1193846
"WC1N1AW",-0.123174,51.52415,50.84262,9914.773,"81B33371-CAC3-33F1-E053-A03BA40A2BEA","A2573C48-A688-43A6-AA2F-E2E5510BF96B","WC1N","1AW",51.52434,-0.1225049
"WC1N1AX",-0.122458,51.52508,39.24713,9914.773,"81B33371-CAC3-33F1-E053-A03BA40A2BEA","EF505C43-9E6C-4B65-8E09-E3B07275FEDC","WC1N","1AX",51.52489,-0.1219846
"WC1N1AY",-0.123922,51.52418,99.62187,9914.773,"81B33371-CAC3-33F1-E053-A03BA40A2BEA","A2573C48-A688-43A6-AA2F-E2E5510BF96B","WC1N","1AY",51.52434,-0.1225049
"WC1N1AZ",-0.120758,51.52548,95.14507,9751.958,"81B33371-CACB-33F1-E053-A03BA40A2BEA","CF827754-82A1-4401-AF2F-74069749E903","WC1N","1AZ",51.52553,-0.1193846
"WC1N1BA",-0.124588,51.52551,151.1833,8263.645,"81B33371-CABD-33F1-E053-A03BA40A2BEA","6D047234-F8F4-40D8-A8A5-67B1E2419A47","WC1N","1BA",51.52565,-0.1224138
"WC1N1BD",-0.122959,51.52524,54.73909,9914.773,"81B33371-CAC3-33F1-E053-A03BA40A2BEA","0F563B60-11CE-4BE1-AE2E-23A1623E15FD","WC1N","1BD",51.52476,-0.1227563
"WC1N1BE",-0.123662,51.5256,86.55219,8263.645,"81B33371-CABD-33F1-E053-A03BA40A2BEA","6D047234-F8F4-40D8-A8A5-67B1E2419A47","WC1N","1BE",51.52565,-0.1224138
"WC1N1BG",-0.123771,51.52577,94.81829,8263.645,"81B33371-CABD-33F1-E053-A03BA40A2BEA","6D047234-F8F4-40D8-A8A5-67B1E2419A47","WC1N","1BG",51.52565,-0.1224138
"WC1N1BH",-0.124625,51.52461,130.3142,9914.773,"81B33371-CAC3-33F1-E053-A03BA40A2BEA","0F563B60-11CE-4BE1-AE2E-23A1623E15FD","WC1N","1BH",51.52476,-0.1227563
"WC1N1BJ",-0.123838,51.52587,101.4896,8263.645,"81B33371-CABD-33F1-E053-A03BA40A2BEA","6D047234-F8F4-40D8-A8A5-67B1E2419A47","WC1N","1BJ",51.52565,-0.1224138
"WC1N1BL",-0.123388,51.52595,75.29452,8263.645,"81B33371-CABD-33F1-E053-A03BA40A2BEA","6D047234-F8F4-40D8-A8A5-67B1E2419A47","WC1N","1BL",51.52565,-0.1224138
"WC1N1BN",-0.123487,51.52608,88.42467,8263.645,"81B33371-CABD-33F1-E053-A03BA40A2BEA","6D047234-F8F4-40D8-A8A5-67B1E2419A47","WC1N","1BN",51.52565,-0.1224138
"WC1N1BP",-0.123785,51.52471,71.40497,9914.773,"81B33371-CAC3-33F1-E053-A03BA40A2BEA","0F563B60-11CE-4BE1-AE2E-23A1623E15FD","WC1N","1BP",51.52476,-0.1227563
"WC1N1BQ",-0.134244,51.51713,626.5996,1977.933,"81B33371-CE82-33F1-E053-A03BA40A2BEA","C1B47294-CFBC-4B66-AC21-FDB84C95864A","WC1N","1BQ",51.51175,-0.1369449
"WC1N1BS",-0.123726,51.52518,81.4791,9914.773,"81B33371-CAC3-33F1-E053-A03BA40A2BEA","0F563B60-11CE-4BE1-AE2E-23A1623E15FD","WC1N","1BS",51.52476,-0.1227563
"WC1N1BT",-0.123771,51.52472,70.372,9914.773,"81B33371-CAC3-33F1-E053-A03BA40A2BEA","0F563B60-11CE-4BE1-AE2E-23A1623E15FD","WC1N","1BT",51.52476,-0.1227563
"WC1N1BU",-0.126103,51.52374,131.5941,24816.73,"81B33371-CAD8-33F1-E053-A03BA40A2BEA","1B86E5DF-BD8A-486F-818E-4D61DB901B95","WC1N","1BU",51.52256,-0.1258811
"WC1N1BX",-0.123681,51.52374,103.4704,9914.773,"81B33371-CAC3-33F1-E053-A03BA40A2BEA","E0A21C7C-5AB1-4713-9211-E4E8A557AF42","WC1N","1BX",51.52427,-0.1224528
"WC1N1BY",-0.124705,51.52336,120.7504,24816.73,"81B33371-CAD8-33F1-E053-A03BA40A2BEA","1B86E5DF-BD8A-486F-818E-4D61DB901B95","WC1N","1BY",51.52256,-0.1258811
"WC1N1BZ",-0.126066,51.52464,168.2401,9203.592,"81B33371-CABF-33F1-E053-A03BA40A2BEA","C9E57DC6-35E4-406B-8D3E-2D2CE9235A5A","WC1N","1BZ",51.52454,-0.128493
"WC1N1DA",-0.117157,51.52395,125.9076,6192.735,"81B33371-CACD-33F1-E053-A03BA40A2BEA","9BBCE479-2034-46CC-BE4F-415286C35A50","WC1N","1DA",51.525,-0.1164815
"WC1N1DB",-0.124089,51.52224,84.05101,24816.73,"81B33371-CAD8-33F1-E053-A03BA40A2BEA","B2817DB0-8785-4CB3-BE85-00D278A75347","WC1N","1DB",51.52157,-0.1246408
"WC1N1DD",-0.124043,51.52265,127.565,24816.73,"81B33371-CAD8-33F1-E053-A03BA40A2BEA","1B86E5DF-BD8A-486F-818E-4D61DB901B95","WC1N","1DD",51.52256,-0.1258811
"WC1N1DE",-0.122003,51.52284,112.7176,3304.067,"81B33371-CAD9-33F1-E053-A03BA40A2BEA","3E2998CC-C23F-44C3-B389-8B84B90E3D65","WC1N","1DE",51.52184,-0.122274
"WC1N1DF",-0.123652,51.52276,135.9589,3304.067,"81B33371-CAD9-33F1-E053-A03BA40A2BEA","BD1BFA23-FF29-4E47-BD59-7FCB87542C73","WC1N","1DF",51.5217,-0.1226557
"WC1N1DG",-0.122094,51.52306,129.3824,9914.773,"81B33371-CAC3-33F1-E053-A03BA40A2BEA","81F957E4-E2B6-4CFB-8CCC-E46E3A240950","WC1N","1DG",51.52407,-0.1211684
"WC1N1DH",-0.11755,51.52384,148.0338,6192.735,"81B33371-CACD-33F1-E053-A03BA40A2BEA","9BBCE479-2034-46CC-BE4F-415286C35A50","WC1N","1DH",51.525,-0.1164815
"WC1N1DJ",-0.120996,51.52349,66.46828,9914.773,"81B33371-CAC3-33F1-E053-A03BA40A2BEA","81F957E4-E2B6-4CFB-8CCC-E46E3A240950","WC1N","1DJ",51.52407,-0.1211684
"WC1N1DN",-0.120006,51.52442,89.29177,9914.773,"81B33371-CAC3-33F1-E053-A03BA40A2BEA","81F957E4-E2B6-4CFB-8CCC-E46E3A240950","WC1N","1DN",51.52407,-0.1211684
"WC1N1DP",-0.116665,51.52433,74.85358,6192.735,"81B33371-CACD-33F1-E053-A03BA40A2BEA","9BBCE479-2034-46CC-BE4F-415286C35A50","WC1N","1DP",51.525,-0.1164815
"WC1N1DQ",-0.121089,51.52332,83.47248,9914.773,"81B33371-CAC3-33F1-E053-A03BA40A2BEA","81F957E4-E2B6-4CFB-8CCC-E46E3A240950","WC1N","1DQ",51.52407,-0.1211684
"WC1N1DR",-0.11627,51.52413,97.66584,6192.735,"81B33371-CACD-33F1-E053-A03BA40A2BEA","9BBCE479-2034-46CC-BE4F-415286C35A50","WC1N","1DR",51.525,-0.1164815
"WC1N1DS",-0.117459,51.5236,169.4652,6192.735,"81B33371-CACD-33F1-E053-A03BA40A2BEA","9BBCE479-2034-46CC-BE4F-415286C35A50","WC1N","1DS",51.525,-0.1164815
"WC1N1DT",-0.117434,51.52386,142.6137,6192.735,"81B33371-CACD-33F1-E053-A03BA40A2BEA","9BBCE479-2034-46CC-BE4F-415286C35A50","WC1N","1DT",51.525,-0.1164815
"WC1N1DU",-0.1189,51.52362,164.7591,9914.773,"81B33371-CAC3-33F1-E053-A03BA40A2BEA","81F957E4-E2B6-4CFB-8CCC-E46E3A240950","WC1N","1DU",51.52407,-0.1211684
"WC1N1DW",-0.117918,51.52374,171.9041,6192.735,"81B33371-CACD-33F1-E053-A03BA40A2BEA","9BBCE479-2034-46CC-BE4F-415286C35A50","WC1N","1DW",51.525,-0.1164815
"WC1N1DX",-0.117944,51.52373,173.1306,6192.735,"81B33371-CACD-33F1-E053-A03BA40A2BEA","9BBCE479-2034-46CC-BE4F-415286C35A50","WC1N","1DX",51.525,-0.1164815
"WC1N1DY",-0.1189,51.52362,164.7591,9914.773,"81B33371-CAC3-33F1-E053-A03BA40A2BEA","81F957E4-E2B6-4CFB-8CCC-E46E3A240950","WC1N","1DY",51.52407,-0.1211684
"WC1N1DZ",-0.118634,51.52351,186.1106,9914.773,"81B33371-CAC3-33F1-E053-A03BA40A2BEA","81F957E4-E2B6-4CFB-8CCC-E46E3A240950","WC1N","1DZ",51.52407,-0.1211684
"WC1N1EA",-0.119075,51.52321,173.6808,9914.773,"81B33371-CAC3-33F1-E053-A03BA40A2BEA","81F957E4-E2B6-4CFB-8CCC-E46E3A240950","WC1N","1EA",51.52407,-0.1211684
"WC1N1EB",-0.120377,51.52275,157.2891,9914.773,"81B33371-CAC3-33F1-E053-A03BA40A2BEA","81F957E4-E2B6-4CFB-8CCC-E46E3A240950","WC1N","1EB",51.52407,-0.1211684
"WC1N1EE",-0.120377,51.52275,157.2891,9914.773,"81B33371-CAC3-33F1-E053-A03BA40A2BEA","81F957E4-E2B6-4CFB-8CCC-E46E3A240950","WC1N","1EE",51.52407,-0.1211684
"WC1N1EH",-0.120098,51.52323,119.6415,9914.773,"81B33371-CAC3-33F1-E053-A03BA40A2BEA","81F957E4-E2B6-4CFB-8CCC-E46E3A240950","WC1N","1EH",51.52407,-0.1211684
"WC1N1EJ",-0.121818,51.52277,108.4966,3304.067,"81B33371-CAD9-33F1-E053-A03BA40A2BEA","3E2998CC-C23F-44C3-B389-8B84B90E3D65","WC1N","1EJ",51.52184,-0.122274
"WC1N1EP",-0.121321,51.52293,127.2073,9914.773,"81B33371-CAC3-33F1-E053-A03BA40A2BEA","81F957E4-E2B6-4CFB-8CCC-E46E3A240950","WC1N","1EP",51.52407,-0.1211684
