"dist_to_nearest_pags","postcode","postcode_start","postcode_end","long","lat","urban"
990.793432252172,"SA327AA","SA32","7AA",-4.268795,51.885566,0
245.935568129901,"SA327AB","SA32","7AB",-4.271492,51.893499,1
1197.22515036658,"SA327AD","SA32","7AD",-4.258236,51.890769,0
1333.43900932718,"SA327AE","SA32","7AE",-4.249761,51.882569,0
1771.27828852007,"SA327AF","SA32","7AF",-4.244279,51.893995,0
1139.08839926679,"SA327AG","SA32","7AG",-4.259367,51.896907,0
593.022409205634,"SA327AH","SA32","7AH",-4.265244,51.90942,0
550.460078281745,"SA327AJ","SA32","7AJ",-4.257992,51.909496,0
1248.07805005802,"SA327AL","SA32","7AL",-4.253118,51.902927,0
918.138195025337,"SA327AN","SA32","7AN",-4.242732,51.910795,0
416.791242088654,"SA327AP","SA32","7AP",-4.255397,51.918053,0
1236.43811035571,"SA327AQ","SA32","7AQ",-4.263002,51.901846,0
662.480497791227,"SA327AR","SA32","7AR",-4.271204,51.906823,0
232.551390955224,"SA327AS","SA32","7AS",-4.27179,51.893071,1
215.733170077033,"SA327AT","SA32","7AT",-4.271962,51.89331,1
294.58915842136,"SA327AU","SA32","7AU",-4.27103,51.892699,1
2684.52646974223,"SA327AW","SA32","7AW",-4.262388,51.963357,0
269.795540843663,"SA327AX","SA32","7AX",-4.271681,51.892363,1
1483.68051466969,"SA327AY","SA32","7AY",-4.210579,51.873258,0
196.661209240869,"SA327BA","SA32","7BA",-4.171383,51.893169,0
286.276393340659,"SA327BB","SA32","7BB",-4.166416,51.913583,0
1985.82354449236,"SA327BD","SA32","7BD",-4.165356,51.935058,0
229.199386686787,"SA327BE","SA32","7BE",-4.151018,51.948172,0
1114.21923684006,"SA327BG","SA32","7BG",-4.106305,51.968511,0
2094.24155943707,"SA327BH","SA32","7BH",-4.094694,51.973664,0
502.70976518951,"SA327BJ","SA32","7BJ",-4.071165,51.982479,0
394.371024381786,"SA327BL","SA32","7BL",-4.151737,51.954453,0
1059.87825738221,"SA327BN","SA32","7BN",-4.15767,51.9592,0
943.933696850224,"SA327BP","SA32","7BP",-4.148776,51.978284,0
1780.07899348473,"SA327BQ","SA32","7BQ",-4.096581,51.970106,0
1625.2180477267,"SA327BS","SA32","7BS",-4.162719,51.991507,0
67.3520925639784,"SA327BT","SA32","7BT",-4.274438,51.893128,1
151.404767705589,"SA327BU","SA32","7BU",-4.272972,51.893174,1
1410.80413983406,"SA327BW","SA32","7BW",-4.150265,51.966871,0
176.183704232915,"SA327BX","SA32","7BX",-4.272962,51.892688,1
1681.29153731866,"SA327BY","SA32","7BY",-4.105848,51.910942,0
1888.55430441605,"SA327BZ","SA32","7BZ",-4.113764,51.911403,0
851.928567802802,"SA327DA","SA32","7DA",-4.104592,51.918824,0
843.93442391791,"SA327DB","SA32","7DB",-4.093501,51.918078,0
1186.47125746217,"SA327DD","SA32","7DD",-4.080029,51.923289,0
811.151614185746,"SA327DE","SA32","7DE",-4.068914,51.928809,0
651.416841931148,"SA327DH","SA32","7DH",-4.277101,51.876521,0
356.910671581439,"SA327DJ","SA32","7DJ",-4.276808,51.890564,1
105.160882137668,"SA327DN","SA32","7DN",-4.275163,51.894534,1
826.644097459487,"SA327DP","SA32","7DP",-4.272283,51.900822,0
695.72395035787,"SA327DQ","SA32","7DQ",-4.26784,51.920153,0
50.8733680601863,"SA327DR","SA32","7DR",-4.272092,51.912309,0
598.605820787375,"SA327DS","SA32","7DS",-4.268934,51.919456,0
926.709252349392,"SA327DT","SA32","7DT",-4.268341,51.922408,0
1791.06193915937,"SA327DU","SA32","7DU",-4.267214,51.932951,0
608.146655959876,"SA327DW","SA32","7DW",-4.270066,51.919695,0
1658.88176798618,"SA327DX","SA32","7DX",-4.269268,51.943379,0
1043.65640430626,"SA327DY","SA32","7DY",-4.259388,51.945106,0
1703.37791705535,"SA327DZ","SA32","7DZ",-4.266764,51.9493,0
2287.01182465987,"SA327EA","SA32","7EA",-4.258346,51.960566,0
2677.26198863239,"SA327EB","SA32","7EB",-4.264108,51.962733,0
2995.69727720945,"SA327ED","SA32","7ED",-4.249151,51.971983,0
3214.69800808157,"SA327EE","SA32","7EE",-4.264952,51.971779,0
3647.48095394696,"SA327EG","SA32","7EG",-4.278681,51.969742,0
814.962934002929,"SA327EJ","SA32","7EJ",-4.254533,51.868296,0
1034.38435755101,"SA327EL","SA32","7EL",-4.234924,51.871557,0
1120.20562325315,"SA327EN","SA32","7EN",-4.233144,51.87052,0
1367.55905537001,"SA327EP","SA32","7EP",-4.245928,51.867031,0
1008.48467413227,"SA327ER","SA32","7ER",-4.253387,51.870809,0
315.784762154504,"SA327ES","SA32","7ES",-4.233691,51.882596,0
345.376240664303,"SA327ET","SA32","7ET",-4.23052,51.877369,0
